" ","Player (10)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap","Apron Salary","Luxury Tax","Cash                         Total","Cash                         Guaranteed"
"1","Teletovic                     Mirza Teletovic","PF","32","$10,500,000","10.60%","$10,500,000","$10,500,000","$10,500,000","'-"
"2","Hawes                     Spencer Hawes","PF","29","$2,007,058","2.03%","$2,007,058","$2,007,058","$2,007,058","'-"
"3","Sanders                     Larry Sanders","C","29","$1,865,546","1.88%","$1,865,546","$1,865,546","$1,865,546","'-"
"4","Kilpatrick                     Sean Kilpatrick","SG","28","$789,725","0.80%","$789,725","$789,725","$818,130","'-"
"5","Liggins                     DeAndre Liggins","SG","29","$757,427","0.76%","$757,427","$757,427","$757,427","'-"
"6","Payton II                     Gary Payton II","PG","25","$100,000","0.10%","$100,000","$100,000","$100,000","'-"
"7","Jennings                     Brandon Jennings","PG","28","$83,129","0.08%","$83,129","$83,129","$119,010","$119,010"
"8","Moore                     Jalen Moore","SF","22","$50,000","0.05%","$50,000","$50,000","$50,000","'-"
"9","Bolomboy                     Joel Bolomboy","PF","24","$22,248","0.02%","$22,248","$22,248","$22,248","'-"
"10","Koenig                     Bronson Koenig","PG","23","'-","'-","'-","'-","$75,000","'-"

