"Player (12 of 15 + 0 of 3 TW)","Pos","Age","Type","Cap Hit","Cap Hit Pct                 League Cap","Base Salary","Incentives                 Likely","Incentives                 Unlikely","Trade Bonus                 Proration","Guaranteed"
"Antetokounmpo                   Giannis Antetokounmpo","PF","32","VET-EXT","$58,456,566","35.21%","$58,456,566","'-","'-","'-","$58,456,566"
"Turner                   Myles Turner","C","30","FA","$26,584,164","16.01%","$26,584,164","'-","'-","'-","$26,584,164"
"Kuzma                   Kyle Kuzma","PF","31","FA","$20,345,152","12.26%","$19,431,819","$580,000","$2,420,000","'-","$19,431,819"
"Portis                   Bobby Portis","PF","31","FA","$14,521,414","8.75%","$14,521,414","'-","'-","'-","$14,521,414"
"Green                   AJ Green","SG","27","VET-EXT","$10,044,644","6.05%","$10,044,644","'-","'-","'-","$10,044,644"
"Porter Jr.                   Kevin Porter Jr.","PG","26","FA","$5,390,700","3.25%","$5,390,700","'-","'-","'-","$5,390,700"
"Rollins                   Ryan Rollins","SG","24","FA","$4,000,000","2.41%","$4,000,000","'-","'-","'-","$4,000,000"
"Trent Jr.                   Gary Trent Jr.","SG","28","FA","$3,881,960","2.34%","$3,881,960","'-","'-","'-","$3,881,960"
"Prince                   Taurean Prince","PF","32","FA","$3,815,861","2.30%","$3,815,861","'-","'-","'-","$3,815,861"
"Harris                   Gary Harris","SG","32","FA","$3,815,861","2.30%","$3,815,861","'-","'-","'-","$3,815,861"
"Sims                   Jericho Sims","C","28","FA","$2,801,346","1.69%","$2,801,346","'-","'-","'-","$2,801,346"
"Jackson Jr.                   Andre Jackson Jr.","SG","25","RK-2ND","$2,406,205","1.45%","$2,406,205","'-","'-","'-","'-"

