" ","Player (10)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap","Apron Salary","Luxury Tax","Cash                         Total","Cash                         Guaranteed"
"1","Amundson                     Louis Amundson","PF","30","$854,389","1.47%","$854,389","$854,389","$1,069,509","'-"
"2","Webster                     Martell Webster","SF","26","$600,000","1.03%","$600,000","$600,000","$600,000","'-"
"3","Howard                     Josh Howard","SF","32","$274,775","0.47%","$274,775","$274,775","$274,775","'-"
"4","Conroy                     Will Conroy","SG","","$95,491","0.16%","$95,491","$95,491","'-","'-"
"5","Hayward                     Lazar Hayward","PF","26","$50,258","0.09%","$50,258","$50,258","$50,258","'-"
"6","Johnson                     Chris Johnson","PF","27","$50,258","0.09%","$50,258","$50,258","$50,258","'-"
"7","Johnson                     Chris Johnson","PF","27","$50,258","0.09%","$50,258","$50,258","$50,258","'-"
"8","Gelabale                     Mickael Gelabale","SF","29","$50,258","0.09%","$50,258","$50,258","'-","'-"
"9","Gelabale                     Mickael Gelabale","SF","29","$50,258","0.09%","$50,258","$50,258","'-","'-"
"10","Hayward                     Lazar Hayward","PF","26","$45,232","0.08%","$45,232","$45,232","$45,232","'-"

