" ","Player (18)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap","Apron Salary","Luxury Tax","Cash                         Total","Cash                         Guaranteed","Free Agent                         Year"
"1","Gobert                     Rudy Gobert","C","32","$43,827,586","31.17%","$43,827,586","$43,827,586","$43,827,586","$43,827,586","2028"
"2","Edwards                     Anthony Edwards","SG","23","$42,176,400","30.00%","$42,176,400","$42,055,204","$42,176,400","$42,176,400","2029"
"3","Randle                     Julius Randle","PF","30","$33,073,920","23.53%","$34,452,000","$33,073,920","$27,561,600","$27,561,600","2028"
"4","McDaniels                     Jaden McDaniels","PF","24","$22,586,207","16.07%","$23,448,277","$22,586,207","$22,586,207","$22,586,207","2029"
"5","Reid                     Naz Reid","C","25","$13,986,432","9.95%","$13,986,432","$13,946,241","$13,986,432","$13,986,432","2030"
"6","DiVincenzo                     Donte DiVincenzo","SG","28","$11,445,000","8.14%","$12,195,000","$11,412,112","$11,445,000","$11,445,000","2027"
"7","Conley                     Mike Conley","PG","37","$9,975,962","7.10%","$9,975,962","$9,975,962","$9,975,962","$9,975,962","2026"
"8","Dillingham                     Rob Dillingham","PG","20","$6,262,920","4.45%","$6,262,920","$6,262,920","$6,262,920","$6,262,920","2028"
"9","Alexander-Walker                     Nickeil Alexander-Walker","SG","26","$4,312,500","3.07%","$4,312,500","$4,312,500","$4,312,500","$4,312,500","2029"
"10","Shannon Jr.                     Terrence Shannon Jr.","SG","24","$2,546,640","1.81%","$2,546,640","$2,546,640","$2,546,640","$2,546,640","2028"
"11","Garza                     Luka Garza","C","26","$2,162,606","1.54%","$2,162,606","$2,162,606","$2,162,606","$2,162,606","2027"
"12","Ingles                     Joe Ingles","SF","37","$2,087,519","1.48%","$2,087,519","$2,087,519","$3,303,771","$3,303,771","2026"
"13","Minott                     Josh Minott","SF","22","$2,019,699","1.44%","$2,019,699","$2,019,699","$2,019,699","$2,019,699","2027"
"14","Miller                     Leonard Miller","SF","21","$1,891,857","1.35%","$1,891,857","$1,891,857","$1,891,857","$1,891,857","2027"
"15","Clark                     Jaylen Clark","SG","23","$492,323","0.35%","$492,323","$492,323","$492,323","$492,323","2026"
"16","Hyland                     Nah'Shon Hyland","PG","24","Two-Way","'-","'-","'-","'-","'-","2026"
"17","Newton                     Tristen Newton","PG","23","Two-Way","'-","'-","'-","'-","'-","2027"
"18","Edwards                     Jesse Edwards","C","24","Two-Way","'-","'-","'-","'-","'-","2025"

