"Player (9 of 15 + 0 of 3 TW)","Pos","Age","Type","Cap Hit","Cap Hit Pct                 League Cap","Base Salary","Incentives                 Likely","Incentives                 Unlikely","Trade Bonus                 Proration","Guaranteed"
"Edwards                   Anthony Edwards","SG","25","DRK-EXT","$48,924,624","29.47%","$48,924,624","'-","'-","'-","$48,924,624"
"Gobert                   Rudy Gobert","C","34","VET-EXT","$36,500,000","21.99%","$36,500,000","'-","'-","'-","$36,500,000"
"Randle                   Julius Randle","PF","32","FA","$33,333,334","20.08%","$33,333,334","'-","'-","'-","$33,333,334"
"McDaniels                   Jaden McDaniels","PF","26","RK-EXT","$26,200,000","15.78%","$26,200,000","'-","$1,000,000","'-","$26,200,000"
"Reid                   Naz Reid","C","27","FA","$23,275,862","14.02%","$23,275,862","'-","'-","'-","$23,275,862"
"DiVincenzo                   Donte DiVincenzo","SG","30","FA","$12,535,000","7.55%","$12,535,000","'-","$750,000","'-","$12,535,000"
"Beringer                   Joan Beringer","C","20","RK-1ST","$4,411,200","2.66%","$4,411,200","'-","'-","'-","$4,411,200"
"Shannon Jr.                   Terrence Shannon Jr.","SG","26","RK-1ST","$2,801,640","1.69%","$2,801,640","'-","'-","'-","$2,801,640"
"Phillips                   Julian Phillips","SF","23","RK-2ND","$2,406,205","1.45%","$2,406,205","'-","'-","'-","$2,406,205"

