" ","Player (10)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap"," "," "," "," "," "
"1","Turner                     Evan Turner","SF","38","$27,909,834","16.81%","","","","","Bird"
"2","Conley                     Mike Conley","PG","39","$20,470,672","12.33%","","","","","Bird"
"3","Clark                     Jaylen Clark","SG","25","$2,959,061","1.78%","","","","","Restricted Bird"
"4","Brooks                     Aaron Brooks","PG","42","$2,464,849","1.48%","","","","","Non-Bird"
"5","Monroe                     Greg Monroe","C","36","$2,464,849","1.48%","","","","","Non-Bird"
"6","Rivers                     Austin Rivers","SG","34","$2,464,849","1.48%","","","","","Non-Bird"
"7","Ingles                     Joe Ingles","SF","39","$2,464,849","1.48%","","","","","Early Bird"
"8","Hyland                     Nah'Shon Hyland","PG","26","$2,464,849","1.48%","","","","","Early Bird"
"9","Juzang                     Johnny Juzang","SG","25","$2,198,879","1.32%","","","","","Two-Way"
"10","Freeman                     Enrique Freeman","PF","26","$2,198,879","1.32%","","","","","Two-Way"
"Incomplete Roster Charge","","","","                                                   $2,732,628"," "," "," "," "," "," "

