"Player (8)","Pos","Age","Type","Cap Hit","Cap Hit Pct                 League Cap","Qualifying Offer"," "," "," "," "
"Gobert                   Rudy Gobert","C","36","VET-EXT","$57,000,000","31.15%","'-","","","Bird",""
"Randle                   Julius Randle","PF","34","FA","$53,703,702","29.34%","'-","","","Bird",""
"Turner                   Evan Turner","SF","40","","$27,909,834","15.25%","'-","","","Bird",""
"Dillingham                   Rob Dillingham","PG","24","RK-1ST","$26,289,648","14.36%","$12,689,137","","","Restricted Bird",""
"Shannon Jr.                   Terrence Shannon Jr.","SG","28","RK-1ST","$15,162,477","8.28%","$8,000,734","","","Restricted Bird",""
"Rivers                   Austin Rivers","SG","36","FA","$2,717,496","1.48%","'-","","","Non-Bird",""
"Monroe                   Greg Monroe","C","38","ROS","$2,717,496","1.48%","'-","","","Non-Bird",""
"Brooks                   Aaron Brooks","PG","44","","$2,717,496","1.48%","'-","","","Non-Bird",""
"Incomplete Roster Charge"," "," "," ","                                   $12,050,896"," "," "," "," "," "," "

