" ","Player (18)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap","Apron Salary","Luxury Tax","Cash                         Total","Cash                         Guaranteed","Free Agent                         Year"
"1","Gordon                     Eric Gordon","SG","27","$15,514,031","22.16%","$15,514,031","$15,514,031","$15,514,031","$15,514,031","2016"
"2","Evans                     Tyreke Evans","SG","26","$10,734,586","15.34%","$10,734,586","$10,734,586","$10,734,586","'-","2017"
"3","Holiday                     Jrue Holiday","PG","25","$10,595,507","15.14%","$11,095,507","$10,595,507","$10,595,507","$10,595,507","2028"
"4","Asik                     Omer Asik","C","29","$9,213,483","13.16%","$10,213,483","$9,213,483","$9,213,483","$9,213,483","2020"
"5","Anderson                     Ryan Anderson","PF","27","$8,500,000","12.14%","$8,500,000","$8,500,000","$8,500,000","$8,500,000","2016"
"6","Davis                     Anthony Davis","C","22","$7,070,730","10.10%","$7,070,730","$7,070,730","$7,070,730","$7,070,730","2028"
"7","Ajinca                     Alexis Ajinca","C","27","$4,389,607","6.27%","$4,539,607","$4,389,607","$4,389,607","$4,389,607","2019"
"8","Pondexter                     Quincy Pondexter","SG","27","$3,382,023","4.83%","$3,382,023","$3,382,023","$3,382,023","$3,382,023","2018"
"9","Cole                     Norris Cole","PG","27","$3,036,927","4.34%","$3,036,927","$3,036,927","$3,036,927","'-","2016"
"10","Cunningham                     Dante Cunningham","PF","28","$2,850,000","4.07%","$2,850,000","$2,850,000","$2,850,000","'-","2018"
"11","Gee                     Alonzo Gee","SF","28","$1,320,000","1.89%","$1,320,000","$1,320,000","$1,320,000","'-","2017"
"12","Douglas                     Toney Douglas","SG","29","$1,164,858","1.66%","$1,164,858","$1,164,858","$1,164,858","'-","2017"
"13","Babbitt                     Luke Babbitt","SF","26","$1,100,602","1.57%","$1,100,602","$1,100,602","$1,100,602","'-","2017"
"14","Perkins                     Kendrick Perkins","C","31","$947,276","1.35%","$947,276","$947,276","$1,499,187","'-","2016"
"15","Dejean-Jones                     Bryce Dejean-Jones","PG","23","$169,883","0.24%","$169,883","$169,883","$169,883","'-","2018"
"16","Frazier                     Tim Frazier","PG","25","$94,448","0.13%","$94,448","$94,448","$94,448","$94,448","2016"
"17","Hamilton                     Jordan Hamilton","SF","25","$55,722","0.08%","$55,722","$55,722","$59,731","'-","2016"
"18","Ennis III                     James Ennis III","SF","25","$24,855","0.04%","$24,855","$24,855","$24,855","$24,855","2016"

