" ","Player (11)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap","Apron Salary","Luxury Tax","Cash                         Total","Cash                         Guaranteed"
"1","Clark                     Gary Clark","PF","27","$377,645","0.34%","$377,645","$377,645","$377,645","'-"
"2","Johnson                     Alize Johnson","PF","25","$95,930","0.09%","$95,930","$95,930","$99,380","$99,380"
"3","Wallace                     Tyrone Wallace","SG","27","$95,930","0.09%","$95,930","$95,930","$95,930","$95,930"
"4","Johnson                     Alize Johnson","PF","25","'-","'-","'-","'-","$99,380","$99,380"
"5","Gabriel                     Wenyen Gabriel","PF","24","'-","'-","'-","'-","$99,380","$99,380"
"6","Wallace                     Tyrone Wallace","SG","27","'-","'-","'-","'-","$95,930","$95,930"
"7","James                     Justin James","SG","25","'-","'-","'-","'-","$95,930","$95,930"
"8","Oni                     Miye Oni","SG","24","'-","'-","'-","'-","$95,930","$95,930"
"9","Harper                     Jared Harper","PG","24","'-","'-","'-","'-","$95,930","$95,930"
"10","Cheatham                     Zylan Cheatham","SF","26","'-","'-","'-","'-","$89,057","$89,057"
"11","Hunt                     Feron Hunt","SF","22","'-","'-","'-","'-","$53,176","$53,176"

