"Player (13 of 15 + 0 of 3 TW)","Pos","Age","Type","Cap Hit","Cap Hit Pct                 League Cap","Base Salary","Incentives                 Likely","Incentives                 Unlikely","Trade Bonus                 Proration","Guaranteed"
"Williamson                   Zion Williamson","PF","26","DRK-EXT","$42,166,510","25.40%","$42,166,510","'-","'-","'-","'-"
"Poole                   Jordan Poole","SG","27","RK-EXT","$34,044,642","20.51%","$34,044,642","'-","$3,750,000","'-","$34,044,642"
"Murray                   Dejounte Murray","PG","30","VET-EXT","$32,785,071","19.75%","$28,767,536","'-","$2,435,997","'-","$28,767,536"
"Murphy III                   Trey Murphy III","SF","26","RK-EXT","$27,000,000","16.27%","$27,000,000","'-","'-","'-","$27,000,000"
"Jones                   Herb Jones","SF","28","FA","$14,898,786","8.98%","$14,898,786","'-","'-","'-","$14,898,786"
"Looney                   Kevon Looney","C","30","FA","$8,000,000","4.82%","$8,000,000","'-","'-","'-","'-"
"Fears                   Jeremiah Fears","PG","20","RK-1ST","$7,896,240","4.76%","$7,896,240","'-","'-","'-","$7,896,240"
"Hawkins                   Jordan Hawkins","SG","24","RK-1ST","$7,021,895","4.23%","$7,021,895","'-","'-","'-","$7,021,895"
"Bey                   Saddiq Bey","SF","27","FA","$6,440,678","3.88%","$6,440,678","'-","$349,206","'-","$6,440,678"
"Queen                   Derik Queen","C","22","RK-1ST","$5,416,080","3.26%","$5,416,080","'-","'-","'-","$5,416,080"
"Missi                   Yves Missi","C","22","RK-1ST","$3,512,760","2.12%","$3,512,760","'-","'-","'-","$3,512,760"
"Matkovic                   Karlo Matkovic","PF","25","RK-2ND","$2,296,271","1.38%","$2,296,271","'-","'-","'-","'-"
"Peavy                   Micah Peavy","SG","25","RK-2ND","$2,150,917","1.30%","$2,150,917","'-","'-","'-","$2,150,917"

