"Player (12)","Pos","Age","Type","Cap Hit","Cap Hit Pct                 League Cap","Qualifying Offer"," "," "," "," "
"Hernangomez                   Willy Hernangomez","C","32","FA","$4,642,804","2.80%","'-","","","Bird",""
"Snell                   Tony Snell","SG","35","FA","$2,464,849","1.48%","'-","","","Non-Bird",""
"Payton                   Elfrid Payton","PG","32","ROS","$2,464,849","1.48%","'-","","","Early Bird",""
"McGowens                   Bryce McGowens","SG","24","2W","$2,464,849","1.48%","'-","","","Two-Way",""
"Jordan                   DeAndre Jordan","C","38","ROS","$2,464,849","1.48%","'-","","","Non-Bird",""
"Boston Jr                   Brandon Boston Jr","SG","25","ROS","$2,464,849","1.48%","'-","","","Early Bird",""
"Nunnally                   James Nunnally","SF","36","2W","$2,198,879","1.32%","'-","","","Two-Way",""
"Harper                   Jared Harper","PG","29","2W","$2,198,879","1.32%","'-","","","Two-Way",""
"Clark                   Gary Clark","PF","32","2W","$2,198,879","1.32%","'-","","","Non-Bird",""
"Brooks Jr.                   Keion Brooks Jr.","SF","","2W","$2,198,879","1.32%","'-","","","Two-Way",""
"Dickinson                   Hunter Dickinson","C","26","2W","$2,198,879","1.32%","$2,198,879","","","Two-Way",""
"Alexander                   Trey Alexander","SG","23","2W","$2,198,879","1.32%","$2,198,879","","","Two-Way",""

