" ","Player (15)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap","Apron Salary","Luxury Tax","Cash                         Total","Cash                         Guaranteed","Free Agent                         Year"
"1","Stoudemire                     Amar'e Stoudemire","PF","30","$19,948,799","34.37%","$19,948,799","$19,948,799","$19,948,799","'-","2015"
"2","Anthony                     Carmelo Anthony","SF","28","$19,444,504","33.50%","$19,444,504","$19,444,504","$19,444,504","$19,444,504","2014"
"3","Chandler                     Tyson Chandler","C","30","$13,604,188","23.44%","$13,604,188","$13,604,188","$13,604,188","$13,604,188","2015"
"4","Camby                     Marcus Camby","C","38","$4,590,338","7.91%","$4,590,338","$4,590,338","$4,590,338","'-","2015"
"5","Novak                     Steve Novak","SF","29","$4,054,055","6.98%","$4,054,055","$4,054,055","$4,054,055","'-","2016"
"6","Felton                     Raymond Felton","PG","28","$3,480,453","6.00%","$3,480,453","$3,480,453","$3,480,453","'-","2016"
"7","Kidd                     Jason Kidd","PG","39","$3,090,000","5.32%","$3,090,000","$3,090,000","$3,090,000","'-","2015"
"8","Smith                     J.R. Smith","SG","27","$2,806,452","4.84%","$2,806,452","$2,806,452","$2,806,452","$2,806,452","2013"
"9","Shumpert                     Iman Shumpert","SG","22","$1,633,440","2.81%","$1,633,440","$1,633,440","$1,633,440","$1,633,440","2015"
"10","White                     James White","SG","30","$854,389","1.47%","$854,389","$854,389","$854,389","'-","2014"
"11","Prigioni                     Pablo Prigioni","PG","35","$473,604","0.82%","$473,604","$473,604","$473,604","'-","2013"
"12","Copeland                     Chris Copeland","SF","28","$473,604","0.82%","$473,604","$473,604","$473,604","'-","2013"
"13","Martin                     Kenyon Martin","PF","35","$270,436","0.47%","$270,436","$270,436","$270,436","'-","2013"
"14","Richardson                     Quentin Richardson","PF","32","$10,052","0.02%","$10,052","$10,052","'-","'-","2013"
"15","Barron                     Earl Barron","PF","31","$6,743","0.01%","$6,743","$6,743","$6,743","'-","2013"

