" ","Player (12)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap","Apron Salary","Luxury Tax","Cash                         Total","Cash                         Guaranteed"
"1","Noah                     Joakim Noah","C","36","$6,431,666","5.72%","$6,431,666","$6,431,666","$6,431,666","'-"
"2","Hill                     Solomon Hill","SF","30","$1,669,178","1.48%","$1,669,178","$1,669,178","$1,194,821","'-"
"3","Valentine                     Denzel Valentine","SG","28","$902,801","0.80%","$902,801","$902,801","$44,583","'-"
"4","Selden                     Wayne Selden","SG","27","$785,102","0.70%","$785,102","$785,102","$785,102","'-"
"5","Arcidiacono                     Ryan Arcidiacono","PG","27","$95,930","0.09%","$95,930","$95,930","$102,831","$102,831"
"6","Arcidiacono                     Ryan Arcidiacono","PG","27","$95,930","0.09%","$95,930","$95,930","$102,831","$102,831"
"7","House Jr.                     Danuel House Jr.","SF","28","'-","'-","'-","'-","$111,457","$111,457"
"8","Dotson                     Damyean Dotson","SG","27","'-","'-","'-","'-","$102,831","$102,831"
"9","Dotson                     Damyean Dotson","SG","27","'-","'-","'-","'-","$102,831","$102,831"
"10","Mooney                     Matt Mooney","G","26","'-","'-","'-","'-","$85,578","$85,578"
"11","Mooney                     Matt Mooney","G","26","'-","'-","'-","'-","$85,578","$85,578"
"12","Hall                     Tyler Hall","SG","24","'-","'-","'-","'-","$53,176","$53,176"

