"Player (9 of 15 + 0 of 3 TW)","Pos","Age","Type","Cap Hit","Cap Hit Pct                 League Cap","Base Salary","Incentives                 Likely","Incentives                 Unlikely","Trade Bonus                 Proration","Guaranteed"
"Towns                   Karl-Anthony Towns","C","31","DVET-EXT","$57,078,728","34.38%","$57,078,728","'-","'-","'-","$57,078,728"
"Anunoby                   OG Anunoby","SF","29","FA","$42,500,000","25.60%","$42,500,000","'-","'-","'-","$42,500,000"
"Brunson                   Jalen Brunson","PG","30","VET-EXT","$37,739,521","22.73%","$37,739,521","'-","'-","'-","$37,739,521"
"Bridges                   Mikal Bridges","SF","30","VET-EXT","$33,482,145","20.17%","$33,482,145","'-","'-","'-","$33,482,145"
"Hart                   Josh Hart","SG","31","VET-EXT","$20,923,760","12.60%","$20,923,760","'-","'-","'-","$20,923,760"
"Alvarado                   Jose Alvarado","PG","28","VET-EXT","$4,500,000","2.71%","$4,500,000","'-","'-","'-","$4,500,000"
"McBride                   Miles McBride","PG","26","VET-EXT","$3,956,523","2.38%","$3,956,523","'-","'-","'-","$3,956,523"
"Dadiet                   Pacome Dadiet","SG","21","RK-1ST","$2,983,680","1.80%","$2,983,680","'-","'-","'-","$2,983,680"
"Kolek                   Tyler Kolek","PG","25","RK-2ND","$2,296,271","1.38%","$2,296,271","'-","'-","'-","$2,296,271"

