"Player (11)","Pos","Age","Type","Cap Hit","Cap Hit Pct                 League Cap","Qualifying Offer"," "," "," "," "
"Robinson                   Mitchell Robinson","C","28","FA","$24,613,637","14.83%","'-","","","Bird",""
"Koponen                   Petteri Koponen","G","38","RK","$3,173,040","1.91%","'-","","","1st Round Pick",""
"Hukporti                   Ariel Hukporti","C","24","ROS","$2,725,905","1.64%","$2,725,905","","","Restricted Early Bird",""
"Tucker                   P.J. Tucker","PF","41","ROS","$2,464,849","1.48%","'-","","","Non-Bird",""
"Sochan                   Jeremy Sochan","PF","23","ROS","$2,464,849","1.48%","'-","","","",""
"Shamet                   Landry Shamet","SG","29","FA","$2,464,849","1.48%","'-","","","",""
"Clarkson                   Jordan Clarkson","SG","34","FA","$2,464,849","1.48%","'-","","","Non-Bird",""
"Diawara                   Mohamed Diawara","PF","21","FA","$2,398,879","1.45%","$2,398,879","","","Restricted Non-Bird",""
"McCullar Jr.                   Kevin McCullar Jr.","SG","25","2W","$2,198,879","1.32%","$2,198,879","","","Two-Way",""
"Jones                   Dillon Jones","SF","25","2W","$2,198,879","1.32%","$2,198,879","","","Two-Way",""
"Jemison                   Trey Jemison","PF","27","2W","$2,198,879","1.32%","$2,198,879","","","Two-Way",""
"Incomplete Roster Charge"," "," "," ","                                   $4,098,942"," "," "," "," "," "," "

