"Player (23 of 15 + 0 of 3 TW)","Pos","Age","Type","Cap Hit","Cap Hit Pct                 League Cap","Base Salary","Incentives                 Likely","Incentives                 Unlikely","Trade Bonus                 Proration","Guaranteed"
"Durant                   Kevin Durant","SF","24","rookie-maximum-extension","$16,669,629","28.72%","$16,669,629","'-","'-","'-","'-"
"Westbrook                   Russell Westbrook","PG","24","DRK-EXT","$13,668,750","23.55%","$13,668,750","'-","'-","'-","$13,668,750"
"Martin                   Kevin Martin","SG","30","EXT","$12,439,675","21.43%","$12,439,675","'-","'-","'-","'-"
"Perkins                   Kendrick Perkins","C","28","VET-EXT","$8,300,531","14.30%","$7,800,531","$500,000","'-","'-","'-"
"Sefolosha                   Thabo Sefolosha","SF","28","EXT","$3,600,000","6.20%","$3,600,000","'-","'-","'-","'-"
"Collison                   Nick Collison","PF","32","VET-EXT","$2,929,332","5.05%","$2,929,332","'-","'-","'-","'-"
"Ibaka                   Serge Ibaka","PF","23","RK-1ST","$2,253,061","3.88%","$2,253,061","'-","'-","'-","$2,253,061"
"Lamb                   Jeremy Lamb","SG","20","RK-1ST","$2,020,200","3.48%","$2,020,200","'-","'-","'-","$2,020,200"
"Lamb                   Jeremy Lamb","SG","20","RK-1ST","$2,020,200","3.48%","$2,020,200","'-","'-","'-","$2,020,200"
"Jackson                   Reggie Jackson","PG","22","RK-1ST","$1,208,400","2.08%","$1,208,400","'-","'-","'-","$1,208,400"
"Jackson                   Reggie Jackson","PG","22","RK-1ST","$1,208,400","2.08%","$1,208,400","'-","'-","'-","$1,208,400"
"Thabeet                   Hasheem Thabeet","C","25","","$1,200,000","2.07%","$1,200,000","'-","'-","'-","'-"
"Thabeet                   Hasheem Thabeet","C","25","","$1,200,000","2.07%","$1,200,000","'-","'-","'-","'-"
"Jones III                   Perry Jones III","SF","21","RK-1ST","$1,035,960","1.78%","$1,035,960","'-","'-","'-","'-"
"Jones III                   Perry Jones III","SF","21","RK-1ST","$1,035,960","1.78%","$1,035,960","'-","'-","'-","'-"
"Orton                   Daniel Orton","C","22","","$854,389","1.47%","$854,389","'-","'-","'-","'-"
"Orton                   Daniel Orton","C","22","","$854,389","1.47%","$854,389","'-","'-","'-","'-"
"Brewer                   Ronnie Brewer","SF","27","","$854,389","1.47%","$1,069,509","'-","'-","'-","'-"
"Brewer                   Ronnie Brewer","SF","27","","$854,389","1.47%","$1,069,509","'-","'-","'-","'-"
"Liggins                   DeAndre Liggins","SG","24","","$762,195","1.31%","$762,195","'-","'-","'-","$762,195"
"Liggins                   DeAndre Liggins","SG","24","","$762,195","1.31%","$762,195","'-","'-","'-","$762,195"
"Fisher                   Derek Fisher","PG","38","","$261,343","0.45%","$413,608","'-","'-","'-","'-"
"Fisher                   Derek Fisher","PG","38","","$261,343","0.45%","$413,608","'-","'-","'-","'-"

