"Player (10)","Pos","","","Cap Hit","Cap Hit Pct                 League Cap","","","","",""
"Price                   Ronnie Price","PG","","","$2,557,545","2.72%","","","","",""
"McGary                   Mitch McGary","PF","","","$1,526,040","1.62%","","","","",""
"Wright                   Chris Wright","SF","","","$100,000","0.11%","","","","",""
"Wright                   Chris Wright","SF","","","$100,000","0.11%","","","","",""
"Tarczewski                   Kaleb Tarczewski","C","","","$75,000","0.08%","","","","",""
"Tarczewski                   Kaleb Tarczewski","C","","","$75,000","0.08%","","","","",""
"Williams                   Reggie Williams","SF","","","$50,000","0.05%","","","","",""
"Williams                   Reggie Williams","SF","","","$50,000","0.05%","","","","",""
"Caruso                   Alex Caruso","PG","","","$50,000","0.05%","","","","",""
"Caruso                   Alex Caruso","PG","","","$50,000","0.05%","","","","",""

