" ","Player (16)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap","Apron Salary","Luxury Tax","Cash                         Total","Cash                         Guaranteed","Free Agent                         Year"
"1","Westbrook                     Russell Westbrook","PG","30","$35,654,150","35.00%","$35,654,150","$35,531,204","$35,654,150","$35,654,150","2026"
"2","George                     Paul George","SF","28","$30,560,700","30.00%","$30,560,700","$30,560,700","$30,560,700","$30,560,700","2028"
"3","Adams                     Steven Adams","C","25","$24,157,303","23.71%","$24,157,303","$24,157,303","$24,157,303","$24,157,303","2028"
"4","Schröder                     Dennis Schröder","PG","25","$15,500,000","15.22%","$17,500,000","$15,446,551","$15,500,000","$15,500,000","2028"
"5","Roberson                     Andre Roberson","SG","27","$10,000,000","9.82%","$10,000,000","$10,000,000","$10,000,000","$10,000,000","2020"
"6","Grant                     Jerami Grant","SF","24","$8,653,847","8.50%","$8,653,847","$8,653,847","$8,653,847","$8,653,847","2028"
"7","Patterson                     Patrick Patterson","PF","29","$5,451,600","5.35%","$5,451,600","$5,451,600","$5,451,600","$5,451,600","2020"
"8","Ferguson                     Terrance Ferguson","SG","20","$2,118,840","2.08%","$2,118,840","$2,118,840","$2,118,840","$2,118,840","2021"
"9","Noel                     Nerlens Noel","C","24","$1,757,429","1.73%","$1,757,429","$1,757,429","$1,757,429","$1,757,429","2020"
"10","Felton                     Raymond Felton","PG","34","$1,512,601","1.48%","$1,512,601","$1,504,346","$2,393,887","$2,393,887","2019"
"11","Nader                     Abdel Nader","SF","25","$1,378,242","1.35%","$1,378,242","$1,512,601","$1,378,242","$1,378,242","2021"
"12","Diallo                     Hamidou Diallo","SG","20","$838,464","0.82%","$838,464","$838,464","$838,464","$838,464","2021"
"13","Morris                     Markieff Morris","PF","29","$427,289","0.42%","$427,289","$427,289","$573,295","$573,295","2019"
"14","Burton                     Deonte Burton","SF","25","$151,587","0.15%","$151,587","$151,587","$151,587","$151,587","2021"
"15","Evans                     Jawun Evans","PG","22","Two-Way","'-","'-","'-","'-","'-","2019"
"16","Grantham                     Donte Grantham","PF","23","Two-Way","'-","'-","'-","'-","'-","2020"

