" ","Player (15)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap","Apron Salary","Luxury Tax","Cash                         Total","Cash                         Guaranteed"
"1","Leonard                     Meyers Leonard","C","28","$9,400,000","8.61%","$9,400,000","$9,400,000","$3,863,014","'-"
"2","Miller                     Darius Miller","SF","30","$7,000,000","6.41%","$7,000,000","$7,000,000","$7,000,000","'-"
"3","Jackson                     Justin Jackson","SF","25","$5,029,650","4.61%","$5,029,650","$5,029,650","$5,029,650","'-"
"4","Leaf                     TJ Leaf","PF","23","$4,326,825","3.96%","$4,326,825","$4,326,825","$4,326,825","'-"
"5","Rivers                     Austin Rivers","SG","28","$3,500,000","3.21%","$3,500,000","$3,500,000","$1,246,575","'-"
"6","Gray                     Joshia Gray","G","27","$1,620,564","1.48%","$1,620,564","$1,620,564","$1,620,564","'-"
"7","Schofield                     Admiral Schofield","SF","23","$1,517,981","1.39%","$1,517,981","$1,517,981","$1,517,981","'-"
"8","Cheatham                     Zylan Cheatham","SF","25","$1,445,697","1.32%","$1,445,697","$1,445,697","$1,445,697","'-"
"9","Singler                     Kyle Singler","SF","32","$999,200","0.92%","$999,200","$999,200","$999,200","'-"
"10","Patterson                     Patrick Patterson","PF","31","$737,067","0.68%","$737,067","$737,067","$737,067","'-"
"11","Jackson                     Frank Jackson","PG","22","$250,000","0.23%","$250,000","$250,000","$250,000","'-"
"12","Brown Jr.                     Charlie Brown Jr.","SG","22","$99,020","0.09%","$99,020","$110,998","$99,020","$99,020"
"13","Brown Jr.                     Charlie Brown Jr.","SG","22","$99,020","0.09%","$99,020","$110,998","$99,020","$99,020"
"14","Robinson                     Justin Robinson","PG","23","$99,020","0.09%","$99,020","$110,998","$99,020","$99,020"
"15","Robinson                     Justin Robinson","PG","23","$99,020","0.09%","$99,020","$110,998","$99,020","$99,020"

