" ","Player (16)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap","Apron Salary","Luxury Tax","Cash                         Total","Cash                         Guaranteed"
"1","Carter-Williams                     Michael Carter-Williams","PG","30","$3,300,000","2.94%","$3,300,000","$3,300,000","$3,300,000","'-"
"2","Dozier                     P.J. Dozier","PG","25","$1,910,860","1.70%","$1,910,860","$1,910,860","$647,935","'-"
"3","Moore                     E'Twaun Moore","SG","32","$1,669,178","1.48%","$1,669,178","$1,669,178","$2,641,691","'-"
"4","Cannady                     Devin Cannady","PG","25","$85,578","0.08%","$85,578","$95,930","$85,578","$85,578"
"5","Dowtin                     Jeff Dowtin","PG","24","$53,176","0.05%","$53,176","$95,930","$53,176","$53,176"
"6","Mozgov                     Timofey Mozgov","C","35","'-","'-","'-","'-","$5,573,334","'-"
"7","Frazier                     Tim Frazier","PG","31","'-","'-","'-","'-","$128,709","$128,709"
"8","Frazier                     Tim Frazier","PG","31","'-","'-","'-","'-","$128,709","$128,709"
"9","Johnson                     B.J. Johnson","SF","26","'-","'-","'-","'-","$95,930","$95,930"
"10","Schofield                     Admiral Schofield","SF","24","'-","'-","'-","'-","$85,578","$85,578"
"11","Schofield                     Admiral Schofield","SF","24","'-","'-","'-","'-","$85,578","$85,578"
"12","Gillespie                     Freddie Gillespie","PF","24","'-","'-","'-","'-","$85,578","$85,578"
"13","Gillespie                     Freddie Gillespie","PF","24","'-","'-","'-","'-","$85,578","$85,578"
"14","Gravett                     Hassani Gravett","SG","","'-","'-","'-","'-","$53,176","$53,176"
"15","Gravett                     Hassani Gravett","SG","","'-","'-","'-","'-","$53,176","$53,176"
"16","Ford                     Aleem Ford","SF","24","'-","'-","'-","'-","$53,176","$53,176"

