" ","Player (17)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap","Apron Salary","Luxury Tax","Cash                         Total","Cash                         Guaranteed","Free Agent                         Year"
"1","Wagner                     Franz Wagner","SF","24","$38,661,750","25.00%","$38,661,750","$38,661,750","$38,661,750","$38,661,750","2030"
"2","Bane                     Desmond Bane","SG","27","$36,725,670","23.75%","$37,958,760","$36,725,670","$36,725,670","$36,725,670","2029"
"3","Suggs                     Jalen Suggs","SG","24","$35,000,000","22.63%","$35,000,000","$35,000,000","$35,000,000","$35,000,000","2030"
"4","Banchero                     Paolo Banchero","PF","23","$15,334,769","9.92%","$15,334,769","$15,334,769","$15,334,769","$15,334,769","2031"
"5","Isaac                     Jonathan Isaac","PF","28","$15,000,000","9.70%","$15,000,000","$15,000,000","$15,000,000","$15,000,000","2029"
"6","Carter Jr.                     Wendell Carter Jr.","C","26","$10,850,000","7.02%","$10,850,000","$10,850,000","$10,850,000","$10,850,000","2029"
"7","Bitadze                     Goga Bitadze","C","26","$8,333,333","5.39%","$8,333,333","$8,333,333","$8,333,333","$8,333,333","2027"
"8","Black                     Anthony Black","SG","22","$7,970,280","5.15%","$7,970,280","$7,970,280","$7,970,280","$7,970,280","2027"
"9","Jones                     Tyus Jones","PG","29","$7,000,000","4.53%","$7,000,000","$7,000,000","$7,000,000","$7,000,000","2026"
"10","Howard                     Jett Howard","SG","22","$5,529,720","3.58%","$5,529,720","$5,529,720","$5,529,720","$5,529,720","2026"
"11","Wagner                     Moritz Wagner","C","28","$5,000,000","3.23%","$5,000,000","$5,000,000","$5,000,000","$5,000,000","2026"
"12","Da Silva                     Tristan Da Silva","SF","24","$3,809,520","2.46%","$3,809,520","$3,809,520","$3,809,520","$3,809,520","2028"
"13","Richardson                     Jase Richardson","SG","20","$2,983,320","1.93%","$2,983,320","$2,983,320","$2,983,320","$2,983,320","2029"
"14","Penda                     Noah Penda","SF","21","$1,272,870","0.82%","$1,272,870","$1,272,870","$1,272,870","$1,272,870","2029"
"15","Robinson                     Orlando Robinson","C","25","Two-Way","'-","'-","'-","$85,300","$85,300","2026"
"16","Cain                     Jamal Cain","SF","26","Two-Way","'-","'-","'-","$85,300","$85,300","2026"
"17","Castleton                     Colin Castleton","PF","25","Two-Way","'-","'-","'-","$85,300","$85,300","2026"

