"Player (11 of 15 + 0 of 3 TW)","Pos","Age","Type","Cap Hit","Cap Hit Pct                 League Cap","Base Salary","Incentives                 Likely","Incentives                 Unlikely","Trade Bonus                 Proration","Guaranteed"
"Wagner                   Franz Wagner","SF","25","DRK-EXT","$41,754,690","25.15%","$41,754,690","'-","'-","'-","$41,754,690"
"Banchero                   Paolo Banchero","PF","24","DRK-EXT","$41,500,000","25.00%","$41,500,000","'-","'-","'-","$41,500,000"
"Bane                   Desmond Bane","SG","28","RK-EXT","$39,446,090","23.76%","$39,446,090","'-","$1,324,430","'-","$39,446,090"
"Suggs                   Jalen Suggs","SG","25","RK-EXT","$32,400,000","19.52%","$32,400,000","'-","'-","'-","$32,400,000"
"Carter Jr.                   Wendell Carter Jr.","C","27","VET-EXT","$18,102,000","10.90%","$18,102,000","'-","'-","'-","$18,102,000"
"Isaac                   Jonathan Isaac","PF","29","VET-EXT","$14,500,000","8.73%","$14,500,000","'-","'-","'-","$8,000,000"
"Black                   Anthony Black","SG","23","RK-1ST","$10,106,316","6.09%","$10,106,316","'-","'-","'-","$10,106,316"
"Bitadze                   Goga Bitadze","C","27","FA","$7,608,696","4.58%","$7,608,696","'-","'-","'-","$7,608,696"
"Da Silva                   Tristan Da Silva","SF","25","RK-1ST","$3,991,200","2.40%","$3,991,200","'-","'-","'-","$3,991,200"
"Richardson                   Jase Richardson","SG","21","RK-1ST","$3,132,360","1.89%","$3,132,360","'-","'-","'-","$3,132,360"
"Penda                   Noah Penda","SF","22","RK-2ND","$2,150,917","1.30%","$2,150,917","'-","'-","'-","$2,150,917"

