"Player (9)","Pos","Age","Type","Cap Hit","Cap Hit Pct                 League Cap","Qualifying Offer"," "," "," "," "
"Wagner                   Moritz Wagner","C","29","FA","$9,500,000","5.72%","'-","","","Bird",""
"Howard                   Jett Howard","SG","23","RK-1ST","$7,337,939","4.42%","'-","","","Bird",""
"Joseph                   Cory Joseph","PG","35","FA","$2,464,849","1.48%","'-","","","Non-Bird",""
"Carter                   Jevon Carter","PG","31","ROS","$2,464,849","1.48%","'-","","","Non-Bird",""
"Robinson                   Orlando Robinson","C","26","2W","$2,198,879","1.32%","'-","","","",""
"Queen                   Trevelin Queen","SG","29","2W","$2,198,879","1.32%","'-","","","Two-Way",""
"McClung                   Mac McClung","PG","28","2W","$2,198,879","1.32%","'-","","","Two-Way",""
"Castleton                   Colin Castleton","PF","26","2W","$2,198,879","1.32%","$2,198,879","","","",""
"Cain                   Jamal Cain","SF","27","2W","$2,198,879","1.32%","$2,198,879","","","Tow-Way",""
"Incomplete Roster Charge"," "," "," ","                                   $1,366,314"," "," "," "," "," "," "

