" ","Player (8)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap"," "," "," "," "," "
"1","Bane                     Desmond Bane","SG","31","$70,290,000","36.58%","","","","","Bird"
"2","Carter Jr.                     Wendell Carter Jr.","C","30","$31,497,480","16.39%","","","","","Bird"
"3","Isaac                     Jonathan Isaac","PF","32","$22,500,000","11.71%","","","","","Bird"
"4","Richardson                     Jase Richardson","SG","24","$17,732,646","9.23%","","","","","Restricted Bird"
"5","Penda                     Noah Penda","SF","25","$2,979,736","1.55%","","","","","Bird"
"6","Joseph                     Cory Joseph","PG","38","$2,853,371","1.48%","","","","","Non-Bird"
"7","Queen                     Trevelin Queen","SG","32","$2,545,477","1.32%","","","","","Two-Way"
"8","McClung                     Mac McClung","PG","31","$2,545,477","1.32%","","","","","Two-Way"
"Incomplete Roster Charge","","","","                                                   $14,235,120"," "," "," "," "," "," "

