" ","Player (16)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap","Apron Salary","Luxury Tax","Cash                         Total","Cash                         Guaranteed","Free Agent                         Year"
"1","Bynum                     Andrew Bynum","C","25","$16,100,000","27.74%","$16,100,000","$16,100,000","$16,100,000","'-","2013"
"2","Young                     Thaddeus Young","PF","24","$8,289,130","14.28%","$8,289,130","$8,289,130","$8,289,130","$8,039,130","2015"
"3","Hawes                     Spencer Hawes","PF","24","$6,500,000","11.20%","$6,500,000","$6,500,000","$6,500,000","$6,500,000","2014"
"4","Richardson                     Jason Richardson","SG","32","$5,799,625","9.99%","$5,799,625","$5,799,625","$5,799,625","'-","2015"
"5","Young                     Nick Young","SG","27","$5,600,000","9.65%","$5,600,000","$5,600,000","$5,600,000","'-","2013"
"6","Turner                     Evan Turner","SF","24","$5,293,080","9.12%","$5,293,080","$5,293,080","$5,293,080","$5,293,080","2014"
"7","Wright                     Dorell Wright","SF","27","$4,106,000","7.07%","$4,106,000","$4,106,000","$4,106,000","'-","2013"
"8","Allen                     LaVoy Allen","PF","23","$3,000,000","5.17%","$3,000,000","$3,000,000","$3,000,000","'-","2014"
"9","Brown                     Kwame Brown","C","30","$2,819,044","4.86%","$2,819,044","$2,819,044","$2,819,044","'-","2013"
"10","Holiday                     Jrue Holiday","PG","22","$2,674,851","4.61%","$2,674,851","$2,674,851","$2,674,851","$2,674,851","2028"
"11","Moultrie                     Arnett Moultrie","PF","22","$1,042,320","1.80%","$1,042,320","$1,042,320","$1,042,320","'-","2014"
"12","Ivey                     Royal Ivey","PG","31","$854,389","1.47%","$854,389","$854,389","'-","'-","2013"
"13","Wilkins                     Damien Wilkins","SG","33","$854,389","1.47%","$854,389","$854,389","$1,223,166","'-","2013"
"14","Jenkins                     Charles Jenkins","PG","23","$762,195","1.31%","$762,195","$762,195","$762,195","'-","2013"
"15","Holiday                     Justin Holiday","SG","23","$47,360","0.08%","$47,360","$47,360","$47,360","'-","2013"
"16","Brand                     Elton Brand","PF","33","'-","'-","'-","'-","$16,060,354","'-",""

