" ","Player (14)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap","Apron Salary","Luxury Tax","Cash                         Total","Cash                         Guaranteed"
"1","McGee                     JaVale McGee","C","28","$12,000,000","17.14%","$12,000,000","$12,000,000","$12,000,000","'-"
"2","Wallace                     Gerald Wallace","SF","33","$10,105,855","14.44%","$10,105,855","$10,105,855","$10,105,855","'-"
"3","Aldemir                     Furkan Aldemir","PF","24","$2,836,768","4.05%","$2,836,768","$2,836,768","$2,683,841","'-"
"4","Weems                     Sonny Weems","SG","","$2,814,000","4.02%","$2,814,000","$2,814,000","$2,814,000","'-"
"5","Wroten Jr.                     Tony Wroten Jr.","SG","22","$2,179,354","3.11%","$2,179,354","$2,179,354","$2,179,354","'-"
"6","Jackson                     Pierre Jackson","PG","24","$750,000","1.07%","$750,000","$750,000","$750,000","'-"
"7","Wood                     Christian Wood","PF","20","$222,392","0.32%","$222,392","$222,392","$222,392","'-"
"8","Wilbekin                     Scottie Wilbekin","PG","22","$200,000","0.29%","$200,000","$200,000","$200,000","'-"
"9","Pressey                     Phil Pressey","PG","24","$183,883","0.26%","$183,883","$183,883","$183,883","'-"
"10","Wood                     Christian Wood","PF","20","$30,888","0.04%","$30,888","$30,888","$30,888","'-"
"11","Wood                     Christian Wood","PF","20","$30,888","0.04%","$30,888","$30,888","$30,888","'-"
"12","McRae                     Jordan McRae","SG","24","$6,178","0.01%","$6,178","$6,178","$6,178","'-"
"13","Tokoto                     J.P. Tokoto","SG","22","$6,178","0.01%","$6,178","$6,178","$6,178","'-"
"14","Railey                     Jordan Railey","C","23","$6,178","0.01%","$6,178","$6,178","$6,178","'-"

