"Player (9 of 15 + 0 of 3 TW)","Pos","Age","Type","Cap Hit","Cap Hit Pct                 League Cap","Base Salary","Incentives                 Likely","Incentives                 Unlikely","Trade Bonus                 Proration","Guaranteed"
"Embiid                   Joel Embiid","C","32","VET-EXT","$58,100,000","35.00%","$58,100,000","'-","'-","'-","$58,100,000"
"George                   Paul George","SG","36","FA","$54,126,380","32.61%","$54,126,380","'-","'-","'-","$54,126,380"
"Maxey                   Tyrese Maxey","PG","26","FA","$40,770,520","24.56%","$40,770,520","'-","'-","'-","$40,770,520"
"Edgecombe                   VJ Edgecombe","SG","21","RK-1ST","$11,663,880","7.03%","$11,663,880","'-","'-","'-","$11,663,880"
"Barlow                   Dominick Barlow","PF","23","ROS","$3,415,000","2.06%","$3,415,000","'-","'-","'-","'-"
"Watford                   Trendon Watford","PF","26","FA","$2,801,346","1.69%","$2,801,346","'-","'-","'-","'-"
"Edwards                   Justin Edwards","SG","23","FA","$2,411,090","1.45%","$2,411,090","'-","'-","'-","$2,411,090"
"Bona                   Adem Bona","C","23","RK-2ND","$2,296,271","1.38%","$2,296,271","'-","'-","'-","'-"
"Broome                   Johni Broome","C","24","RK-2ND","$2,150,917","1.30%","$2,150,917","'-","'-","'-","$2,150,917"

