"Player (10)","Pos","Age","Type","Cap Hit","Cap Hit Pct                 League Cap","Qualifying Offer"," "," "," "," "
"Grimes                   Quentin Grimes","SG","26","FA","$16,608,297","10.01%","'-","","","Bird",""
"Oubre Jr.                   Kelly Oubre Jr.","SF","31","FA","$15,926,085","9.59%","'-","","","Bird",""
"Drummond                   Andre Drummond","C","33","FA","$6,500,000","3.92%","'-","","","Early Bird",""
"Walker IV                   Lonnie Walker IV","SG","28","ROS","$2,464,849","1.48%","'-","","","Non-Bird",""
"Lowry                   Kyle Lowry","PG","40","FA","$2,464,849","1.48%","'-","","","Early Bird",""
"Hood-Schifino                   Jalen Hood-Schifino","PG","23","2W","$2,198,879","1.32%","'-","","","Two-Way",""
"Dowtin                   Jeff Dowtin","PG","29","2W","$2,198,879","1.32%","'-","","","Two-Way",""
"Walker                   Jabari Walker","SF","24","2W","$2,198,879","1.32%","$2,198,879","","","Two-Way",""
"Terry                   Dalen Terry","SG","24","2W","$2,198,879","1.32%","$2,198,879","","","Two-Way",""
"Beauchamp                   MarJon Beauchamp","SG","26","2W","$2,198,879","1.32%","$2,198,879","","","Two-Way",""
"Incomplete Roster Charge"," "," "," ","                                   $4,098,942"," "," "," "," "," "," "

