" ","Player (9)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap","Apron Salary","Luxury Tax","Cash                         Total","Cash                         Guaranteed"
"1","Salmons                     John Salmons","SF","35","$2,000,000","3.17%","$2,000,000","$2,000,000","$2,000,000","'-"
"2","Marshall                     Kendall Marshall","PG","23","$915,243","1.45%","$915,243","$915,243","$915,243","'-"
"3","Mitchell                     Tony Mitchell","PF","22","$816,482","1.29%","$816,482","$816,482","$816,482","'-"
"4","Beasley                     Michael Beasley","SF","26","$777,778","1.23%","$777,778","$777,778","'-","'-"
"5","Barron                     Earl Barron","PF","33","$53,838","0.09%","$53,838","$53,838","$77,076","'-"
"6","Barron                     Earl Barron","PF","33","$53,838","0.09%","$53,838","$53,838","$77,076","'-"
"7","Price                     A.J. Price","PG","28","$53,838","0.09%","$53,838","$53,838","$62,552","'-"
"8","McNeal                     Jerel McNeal","PG","27","$53,838","0.09%","$53,838","$53,838","$53,838","'-"
"9","Curry                     Seth Curry","SG","24","$48,028","0.08%","$48,028","$48,028","$48,028","$48,028"

