" ","Player (16)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap","Apron Salary","Luxury Tax","Cash                         Total","Cash                         Guaranteed","Free Agent                         Year"
"1","Johnson                     Tyler Johnson","SG","26","$19,245,370","18.89%","$19,245,370","$19,245,370","$6,958,778","$19,245,370","2020"
"2","Warren                     T.J. Warren","SF","25","$11,750,000","11.53%","$12,500,000","$11,750,000","$11,750,000","$11,160,714","2022"
"3","Ayton                     Deandre Ayton","C","20","$8,165,160","8.02%","$8,165,160","$8,165,160","$8,165,160","$8,165,160","2027"
"4","Jackson                     Josh Jackson","SF","21","$6,041,520","5.93%","$6,041,520","$6,041,520","$6,041,520","$6,041,520","2020"
"5","Bender                     Dragan Bender","PF","21","$4,661,280","4.58%","$4,661,280","$4,661,280","$4,661,280","$4,661,280","2019"
"6","Bridges                     Mikal Bridges","SF","22","$3,552,960","3.49%","$3,552,960","$3,552,960","$3,552,960","$3,552,960","2030"
"7","Booker                     Devin Booker","SG","22","$3,314,365","3.25%","$3,314,365","$3,314,365","$3,314,365","$3,314,365","2030"
"8","Daniels                     Troy Daniels","SG","27","$3,258,549","3.20%","$3,258,549","$3,258,549","$3,258,549","$3,258,549","2019"
"9","Oubre Jr.                     Kelly Oubre Jr.","SF","23","$3,208,630","3.15%","$3,208,630","$3,208,630","$2,120,959","$3,208,630","2026"
"10","Holmes                     Richaun Holmes","C","25","$1,600,520","1.57%","$1,600,520","$1,600,520","$1,600,520","$1,600,520","2019"
"11","Crawford                     Jamal Crawford","SG","38","$1,512,601","1.48%","$1,512,601","$1,512,601","$2,393,887","$2,393,887","2019"
"12","Okobo                     Élie Okobo","PG","21","$1,238,464","1.22%","$1,238,464","$1,238,464","$1,238,464","$1,238,464","2022"
"13","Melton                     De'Anthony Melton","PG","20","$949,000","0.93%","$949,000","$949,000","$949,000","$949,000","2027"
"14","Spalding                     Ray Spalding","PF","21","$184,746","0.18%","$184,746","$184,746","$184,746","'-","2019"
"15","Fredette                     Jimmer Fredette","PG","29","$170,915","0.17%","$170,915","$170,915","$198,580","$198,580","2020"
"16","King                     George King","SF","25","Two-Way","'-","'-","'-","'-","'-","2019"

