" ","Player (9)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap"," "," "," "," "," "
"1","Ross                     Terrence Ross","SF","34","$2,303,001","1.49%","","","","","Non-Bird"
"2","Young                     Thaddeus Young","PF","37","$2,296,274","1.48%","","","","","Non-Bird"
"3","Thomas                     Isaiah Thomas","PG","36","$2,296,274","1.48%","","","","","Non-Bird"
"4","Lee                     Damion Lee","SG","33","$2,296,274","1.48%","","","","","Early Bird"
"5","Bol                     Bol Bol","PF","26","$2,296,274","1.48%","","","","","Early Bird"
"6","Lee                     Saben Lee","PG","26","$2,296,274","1.48%","","","","","Two-Way"
"7","Azubuike                     Udoka Azubuike","C","26","$2,048,494","1.32%","","","","","Two-Way"
"8","Wainright                     Ishmail Wainright","SF","31","$2,048,494","1.32%","","","","","Two-Way"
"9","Lundberg                     Gabriel Lundberg","G","31","$2,048,494","1.32%","","","","","Two-Way"

