"Player (9 of 15 + 0 of 3 TW)","Pos","Age","Type","Cap Hit","Cap Hit Pct                 League Cap","Base Salary","Incentives                 Likely","Incentives                 Unlikely","Trade Bonus                 Proration","Guaranteed"
"Booker                   Devin Booker","SG","30","DVET-EXT","$57,078,728","34.38%","$57,078,728","'-","'-","'-","$57,078,728"
"Green                   Jalen Green","SG","24","RK-EXT","$36,251,166","21.84%","$36,000,000","'-","'-","'-","$36,000,000"
"Brooks                   Dillon Brooks","SF","31","S&T","$19,992,727","12.04%","$19,992,727","'-","$1,000,000","'-","$19,992,727"
"Allen                   Grayson Allen","SG","31","VET-EXT","$18,125,000","10.92%","$18,125,000","'-","'-","'-","$18,125,000"
"O'Neale                   Royce O'Neale","SF","33","FA","$10,875,000","6.55%","$10,875,000","'-","$500,000","'-","$10,875,000"
"Maluach                   Khaman Maluach","C","20","RK-1ST","$6,316,680","3.81%","$6,316,680","'-","'-","'-","$6,316,680"
"Dunn                   Ryan Dunn","SF","24","RK-1ST","$2,784,240","1.68%","$2,784,240","'-","'-","'-","$2,784,240"
"Ighodaro                   Oso Ighodaro","C","24","RK-2ND","$2,296,271","1.38%","$2,296,271","'-","'-","'-","$250,000"
"Fleming                   Rasheer Fleming","PF","22","RK-2ND","$2,150,917","1.30%","$2,150,917","'-","'-","'-","$2,150,917"

