"Player (17)","Pos","Age","Type","Cap Hit","Cap Hit Pct                 League Cap","Qualifying Offer"," "," "," "," "
"Williams                   Mark Williams","C","25","RK-1ST","$18,829,593","11.34%","$8,774,590","","","Restricted Bird",""
"Young                   Thaddeus Young","PF","38","ROS","$2,464,849","1.48%","'-","","","Non-Bird",""
"Thomas                   Isaiah Thomas","PG","37","ROS","$2,464,849","1.48%","'-","","","Non-Bird",""
"Ross                   Terrence Ross","SF","35","ROS","$2,464,849","1.48%","'-","","","Non-Bird",""
"Lee                   Saben Lee","PG","27","2W","$2,464,849","1.48%","'-","","","Two-Way",""
"Lee                   Damion Lee","SG","34","FA","$2,464,849","1.48%","'-","","","Early Bird",""
"Goodwin                   Jordan Goodwin","PG","28","ROS","$2,464,849","1.48%","'-","","","Early Bird",""
"Gillespie                   Collin Gillespie","PG","27","FA","$2,464,849","1.48%","'-","","","Early Bird",""
"Coffey                   Amir Coffey","SG","29","FA","$2,464,849","1.48%","'-","","","Non-Bird",""
"Bol                   Bol Bol","PF","27","FA","$2,464,849","1.48%","'-","","","",""
"Anthony                   Cole Anthony","PG","26","FA","$2,464,849","1.48%","'-","","","Non-Bird",""
"Wainright                   Ishmail Wainright","SF","32","2W","$2,198,879","1.32%","'-","","","Two-Way",""
"Lundberg                   Gabriel Lundberg","G","32","2W","$2,198,879","1.32%","'-","","","Two-Way",""
"Azubuike                   Udoka Azubuike","C","27","2W","$2,198,879","1.32%","'-","","","Two-Way",""
"Livers                   Isaiah Livers","SF","28","2W","$2,198,879","1.32%","$2,198,879","","","Two-Way",""
"Brea                   Koby Brea","G","24","2W","$2,198,879","1.32%","$2,198,879","","","Two-Way",""
"Bouyea                   Jamaree Bouyea","PG","27","2W","$2,198,879","1.32%","$2,198,879","","","",""
"Incomplete Roster Charge"," "," "," ","                                   $4,098,942"," "," "," "," "," "," "

