" ","Player (15)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap","Apron Salary","Luxury Tax","Cash                         Total","Cash                         Guaranteed","Free Agent                         Year"
"1","Aminu                     Al-Farouq Aminu","SF","25","$8,042,895","11.49%","$8,042,895","$8,042,895","$8,042,895","$8,042,895","2019"
"2","Davis                     Ed Davis","PF","26","$6,980,802","9.97%","$6,980,802","$6,980,802","$6,980,802","$6,980,802","2018"
"3","Henderson                     Gerald Henderson","SG","28","$6,000,000","8.57%","$6,000,000","$6,000,000","$6,000,000","'-","2016"
"4","Kaman                     Chris Kaman","C","33","$5,016,000","7.17%","$5,016,000","$5,016,000","$5,016,000","'-","2016"
"5","Lillard                     Damian Lillard","PG","25","$4,236,286","6.05%","$4,236,286","$4,236,286","$4,236,286","$4,236,286","2028"
"6","Leonard                     Meyers Leonard","PF","23","$3,075,879","4.39%","$3,075,879","$3,075,879","$3,075,879","$3,075,879","2016"
"7","Harkless                     Maurice Harkless","SF","22","$2,894,059","4.13%","$2,894,059","$2,894,059","$2,894,059","$2,894,059","2016"
"8","Roberts                     Brian Roberts","PG","30","$2,854,940","4.08%","$2,854,940","$2,854,940","$923,657","'-","2016"
"9","Vonleh                     Noah Vonleh","PF","20","$2,637,720","3.77%","$2,637,720","$2,637,720","$2,637,720","$2,637,720","2018"
"10","McCollum                     C.J. McCollum","SG","24","$2,525,160","3.61%","$2,525,160","$2,525,160","$2,525,160","$2,525,160","2026"
"11","Plumlee                     Mason Plumlee","C","25","$1,415,520","2.02%","$1,415,520","$1,415,520","$1,415,520","'-","2026"
"12","Crabbe                     Allen Crabbe","SG","23","$947,276","1.35%","$947,276","$947,276","$947,276","$947,276","2016"
"13","Connaughton                     Pat Connaughton","SG","23","$625,093","0.89%","$625,093","$625,093","$625,093","$625,093","2026"
"14","Montero                     Luis Montero","SG","22","$525,093","0.75%","$525,093","$525,093","$525,093","'-","2018"
"15","Alexander                     Cliff Alexander","PF","20","$525,093","0.75%","$525,093","$525,093","$525,093","'-","2017"

