" ","Player (17)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap","Apron Salary","Luxury Tax","Cash                         Total","Cash                         Guaranteed"
"1","Nicholson                     Andrew Nicholson","PF","32","$2,844,430","2.53%","$2,844,430","$2,844,430","$2,844,430","'-"
"2","Smith Jr.                     Dennis Smith Jr.","PG","24","$1,789,256","1.59%","$1,789,256","$1,789,256","$1,789,256","'-"
"3","Zeller                     Cody Zeller","C","29","$1,669,178","1.48%","$1,669,178","$1,669,178","$2,389,641","'-"
"4","Dunn                     Kris Dunn","PG","27","$95,930","0.09%","$95,930","$95,930","$111,457","$111,457"
"5","Dunn                     Kris Dunn","PG","27","$95,930","0.09%","$95,930","$95,930","$111,457","$111,457"
"6","Eubanks                     Drew Eubanks","C","24","$95,930","0.09%","$95,930","$95,930","$99,380","$99,380"
"7","Eubanks                     Drew Eubanks","C","24","$95,930","0.09%","$95,930","$95,930","$99,380","$99,380"
"8","Eubanks                     Drew Eubanks","C","24","$95,930","0.09%","$95,930","$95,930","$99,380","$99,380"
"9","Eubanks                     Drew Eubanks","C","24","$95,930","0.09%","$95,930","$95,930","$99,380","$99,380"
"10","Perry                     Reggie Perry","C","21","$85,578","0.08%","$85,578","$95,930","$85,578","$85,578"
"11","Dunn                     Kris Dunn","PG","27","$76,744","0.07%","$76,744","$76,744","$89,165","$89,165"
"12","Eubanks                     Drew Eubanks","C","24","$76,744","0.07%","$76,744","$76,744","$79,504","$79,504"
"13","Perry                     Reggie Perry","C","21","$17,116","0.02%","$17,116","$19,186","$17,116","$17,116"
"14","Perry                     Reggie Perry","C","21","'-","'-","'-","'-","$85,578","$85,578"
"15","McGriff                     Cameron McGriff","SF","24","'-","'-","'-","'-","$53,176","$53,176"
"16","Williams                     Brandon Williams","PG","22","'-","'-","'-","'-","$53,176","$53,176"
"17","Cumberland                     Jarron Cumberland","SG","24","'-","'-","'-","'-","$53,176","$53,176"

