"Player (11)","Pos","Age","Type","Cap Hit","Cap Hit Pct                 League Cap","Qualifying Offer"," "," "," "," "
"Thybulle                   Matisse Thybulle","SG","29","FA","$21,945,000","13.22%","'-","","","Bird",""
"Williams III                   Robert Williams III","C","29","RK-EXT","$19,928,570","12.01%","'-","","","Bird",""
"Rupert                   Rayan Rupert","SG","22","RK-2ND","$2,976,876","1.79%","$2,976,876","","","Restricted Bird",""
"Wesley                   Blake Wesley","SG","23","FA","$2,464,849","1.48%","'-","","","Non-Bird",""
"McLemore                   Ben McLemore","SF","33","FA","$2,464,849","1.48%","'-","","","Non-Bird",""
"Hollis-Jefferson                   Rondae Hollis-Jefferson","SF","32","ROS","$2,464,849","1.48%","'-","","","Non-Bird",""
"Leaf                   TJ Leaf","PF","29","2W","$2,198,879","1.32%","'-","","","Two-Way",""
"Hagans                   Ashton Hagans","PG","27","2W","$2,198,879","1.32%","'-","","","Two-Way",""
"Love                   Caleb Love","G","25","2W","$2,198,879","1.32%","$2,198,879","","","Two-Way",""
"Cissoko                   Sidy Cissoko","SG","22","2W","$2,198,879","1.32%","$2,198,879","","","Two-Way",""
"Blevins                   Keljin Blevins","G","31","2W","$2,198,879","1.32%","$2,198,879","","","Two-Way",""
"Incomplete Roster Charge"," "," "," ","                                   $1,366,314"," "," "," "," "," "," "

