"Player (9 of 15 + 0 of 3 TW)","Pos","Age","Type","Cap Hit","Cap Hit Pct                 League Cap","Base Salary","Incentives                 Likely","Incentives                 Unlikely","Trade Bonus                 Proration","Guaranteed"
"Holiday                   Jrue Holiday","PG","37","VET-EXT","$37,200,000","21.34%","$37,200,000","'-","'-","'-","$37,200,000"
"Grant                   Jerami Grant","PF","33","FA","$36,413,790","20.89%","$36,413,790","'-","'-","'-","$36,413,790"
"Sharpe                   Shaedon Sharpe","SG","24","RK-EXT","$21,696,429","12.45%","$21,696,429","'-","'-","'-","$21,696,429"
"Camara                   Toumani Camara","PF","27","VET-EXT","$19,526,786","11.20%","$19,526,786","'-","'-","'-","$19,526,786"
"Lillard                   Damian Lillard","PG","37","FA","$14,104,000","8.09%","$14,104,000","'-","'-","'-","$14,104,000"
"Avdija                   Deni Avdija","SF","27","RK-EXT","$11,875,000","6.81%","$11,875,000","'-","'-","'-","$11,875,000"
"Clingan                   Donovan Clingan","C","23","RK-1ST","$9,550,298","5.48%","$9,550,298","'-","'-","'-","'-"
"Hansen                   Yang Hansen","C","22","RK-1ST","$4,864,920","2.79%","$4,864,920","'-","'-","'-","$4,864,920"
"Krejci                   Vit Krejci","PG","27","FA","$3,005,085","1.72%","$3,005,085","'-","'-","'-","'-"

