" ","Player (8)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap"," "," "," "," "," "
"1","Henderson                     Scoot Henderson","PG","23","$40,756,569","23.38%","","","","","Restricted Bird"
"2","Murray                     Kris Murray","PF","27","$15,945,012","9.15%","","","","","Restricted Bird"
"3","McLemore                     Ben McLemore","SF","34","$2,588,091","1.48%","","","","","Non-Bird"
"4","Hollis-Jefferson                     Rondae Hollis-Jefferson","SF","33","$2,588,091","1.48%","","","","","Non-Bird"
"5","Blevins                     Keljin Blevins","G","32","$2,308,823","1.32%","","","","","Two-Way"
"6","Cooke                     Javonte Cooke","G","28","$2,308,823","1.32%","","","","","Two-Way"
"7","Leaf                     TJ Leaf","PF","30","$2,308,823","1.32%","","","","","Two-Way"
"8","Hagans                     Ashton Hagans","PG","28","$2,308,823","1.32%","","","","","Two-Way"
"Incomplete Roster Charge","","","","                                                   $4,303,890"," "," "," "," "," "," "

