" ","Player (11)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap","Apron Salary","Luxury Tax","Cash                         Total","Cash                         Guaranteed"
"1","Fredette                     Jimmer Fredette","PG","24","$2,439,840","4.16%","$2,439,840","$2,439,840","$2,439,840","'-"
"2","Mason                     Roger Mason","SG","33","$884,293","1.51%","$884,293","$884,293","'-","'-"
"3","Brooks                     Aaron Brooks","PG","29","$674,194","1.15%","$674,194","$674,194","$674,194","'-"
"4","N'Diaye                     Hamady N'Diaye","C","27","$374,524","0.64%","$374,524","$374,524","$374,524","'-"
"5","White                     Royce White","PF","22","$46,404","0.08%","$46,404","$46,404","$46,404","'-"
"6","White                     Royce White","PF","22","$46,404","0.08%","$46,404","$46,404","$46,404","'-"
"7","Cunningham                     Jared Cunningham","SG","22","$46,404","0.08%","$46,404","$46,404","$46,404","'-"
"8","Johnson                     Orlando Johnson","SG","24","$46,404","0.08%","$46,404","$46,404","'-","'-"
"9","Johnson                     Orlando Johnson","SG","24","$46,404","0.08%","$46,404","$46,404","'-","'-"
"10","Lockett                     Trent Lockett","SG","23","$35,000","0.06%","$35,000","$35,000","'-","'-"
"11","Heath                     Brandon Heath","SG","29","$35,000","0.06%","$35,000","$35,000","'-","'-"

