" ","Player (17)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap","Apron Salary","Luxury Tax","Cash                         Total","Cash                         Guaranteed","Free Agent                         Year"
"1","Barnes                     Harrison Barnes","PF","27","$24,147,727","22.13%","$24,147,727","$24,147,727","$22,638,494","$24,147,727","2026"
"2","Bazemore                     Kent Bazemore","SG","30","$19,269,662","17.66%","$19,269,662","$19,269,662","$8,158,307","$19,269,662","2020"
"3","Joseph                     Cory Joseph","PG","28","$12,000,000","11.00%","$12,000,000","$12,000,000","$11,250,000","$12,000,000","2022"
"4","Bagley III                     Marvin Bagley III","PF","20","$8,556,120","7.84%","$8,556,120","$8,556,120","$8,021,363","$8,556,120","2026"
"5","Bogdanovic                     Bogdan Bogdanovic","SG","27","$8,529,386","7.82%","$8,529,386","$8,529,386","$7,996,299","$8,529,386","2027"
"6","Bjelica                     Nemanja Bjelica","PF","31","$6,825,000","6.25%","$6,825,000","$6,825,000","$6,398,438","$6,500,000","2021"
"7","Parker                     Jabari Parker","PF","24","$6,500,000","5.96%","$6,500,000","$6,500,000","$2,164,371","$6,500,000","2021"
"8","Fox                     De'Aaron Fox","PG","22","$6,392,760","5.86%","$6,392,760","$6,392,760","$5,993,213","$6,392,760","2030"
"9","Hield                     Buddy Hield","SG","27","$4,861,208","4.45%","$4,861,208","$4,861,208","$4,557,383","$4,861,208",""
"10","Holmes                     Richaun Holmes","PF","26","$4,767,000","4.37%","$4,767,000","$4,767,000","$4,469,063","$4,767,000","2021"
"11","Len                     Alex Len","C","26","$4,160,000","3.81%","$4,160,000","$4,160,000","$1,385,198","$4,160,000","2020"
"12","Ferrell                     Yogi Ferrell","PG","26","$3,150,000","2.89%","$3,150,000","$3,150,000","$2,953,125","$3,150,000","2020"
"13","Giles                     Harry Giles","PF","21","$2,578,800","2.36%","$2,578,800","$2,578,800","$2,417,625","$2,578,800","2021"
"14","James                     Justin James","SG","23","$898,310","0.82%","$898,310","$898,310","$842,166","$898,310","2022"
"15","Brewer                     Corey Brewer","SG","33","$183,115","0.17%","$183,115","$183,115","$289,803","$289,803","2020"
"16","Guy                     Kyle Guy","SG","22","Two-Way","'-","'-","'-","'-","'-","2021"
"17","Jeffries                     DaQuan Jeffries","SF","22","Two-Way","'-","'-","'-","'-","'-","2020"

