"Player (10 of 15 + 0 of 3 TW)","Pos","Age","Type","Cap Hit","Cap Hit Pct                 League Cap","Base Salary","Incentives                 Likely","Incentives                 Unlikely","Trade Bonus                 Proration","Guaranteed"
"LaVine                   Zach LaVine","SG","31","FA","$48,967,380","29.50%","$48,967,380","'-","'-","'-","$48,967,380"
"Sabonis                   Domantas Sabonis","PF","30","VET-EXT","$45,472,000","27.39%","$45,472,000","'-","$2,600,000","'-","$45,472,000"
"DeRozan                   DeMar DeRozan","SF","37","S&T","$25,740,000","15.51%","$25,740,000","'-","$1,000,000","'-","$25,740,000"
"Hunter                   De'Andre Hunter","SF","29","RK-EXT","$24,910,714","15.01%","$24,910,714","'-","$1,250,000","'-","$24,910,714"
"Murray                   Keegan Murray","PF","26","RK-EXT","$24,137,936","14.54%","$24,137,936","'-","'-","'-","$24,137,936"
"Monk                   Malik Monk","SG","28","FA","$20,190,035","12.16%","$20,190,035","'-","'-","'-","$20,190,035"
"Carter                   Devin Carter","PG","24","RK-1ST","$5,158,080","3.11%","$5,158,080","'-","'-","'-","$5,158,080"
"Clifford                   Nique Clifford","SF","24","RK-1ST","$3,263,400","1.97%","$3,263,400","'-","'-","'-","$3,263,400"
"Raynaud                   Maxime Raynaud","C","23","RK-2ND","$2,150,918","1.30%","$2,150,918","'-","'-","'-","$2,150,918"
"Cardwell                   Dylan Cardwell","PF","25","ROS","$2,150,917","1.30%","$2,150,917","'-","'-","'-","$2,150,917"

