" ","Player (13)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap"," "," "," "," "," "
"1","Lyles                     Trey Lyles","PF","31","$15,200,000","9.16%","","","","","Bird"
"2","Saric                     Dario Saric","PF","32","$10,310,160","6.21%","","","","","Early Bird"
"3","McGee                     JaVale McGee","C","39","$2,464,849","1.48%","","","","","Non-Bird"
"4","Crowder                     Jae Crowder","SF","36","$2,464,849","1.48%","","","","","Non-Bird"
"5","McDermott                     Doug McDermott","SF","35","$2,464,849","1.48%","","","","","Early Bird"
"6","Fultz                     Markelle Fultz","PG","28","$2,464,849","1.48%","","","","","Non-Bird"
"7","Eubanks                     Drew Eubanks","C","29","$2,464,849","1.48%","","","","","Non-Bird"
"8","Achiuwa                     Precious Achiuwa","PF","27","$2,464,849","1.48%","","","","","Non-Bird"
"9","Ellis                     Keon Ellis","SF","27","$2,464,849","1.48%","","","","","Bird"
"10","Plowden                     Daeqwon Plowden","G","28","$2,198,879","1.32%","","","","","Two-Way"
"11","Stevens                     Isaiah Stevens","PG","26","$2,198,879","1.32%","","","","","Two-Way"
"12","Jones                     Mason Jones","SG","28","$2,198,879","1.32%","","","","","Two-Way"
"13","Ford                     Jordan Ford","PG","28","$2,198,879","1.32%","","","","","Two-Way"
"Incomplete Roster Charge","","","","                                                   $4,098,942"," "," "," "," "," "," "

