"Player (10)","Pos","Age","Type","Cap Hit","Cap Hit Pct                 League Cap","Qualifying Offer"," "," "," "," "
"LaVine                   Zach LaVine","SG","32","FA","$56,581,816","32.46%","'-","","","Bird",""
"DeRozan                   DeMar DeRozan","SF","38","S&T","$38,604,762","22.15%","'-","","","Bird",""
"Hunter                   De'Andre Hunter","SF","30","RK-EXT","$37,366,071","21.44%","'-","","","Bird",""
"Lyles                   Trey Lyles","PF","32","FA","$15,200,000","8.72%","'-","","","Bird",""
"McGee                   JaVale McGee","C","40","FA","$2,588,091","1.48%","'-","","","Non-Bird",""
"Fultz                   Markelle Fultz","PG","29","ROS","$2,588,091","1.48%","'-","","","Non-Bird",""
"Crowder                   Jae Crowder","SF","37","ROS","$2,588,091","1.48%","'-","","","Non-Bird",""
"Cardwell                   Dylan Cardwell","PF","26","2W","$2,411,071","1.38%","$2,411,071","","","Two-Way",""
"Jones                   Mason Jones","SG","29","2W","$2,308,823","1.32%","'-","","","Two-Way",""
"Ford                   Jordan Ford","PG","29","2W","$2,308,823","1.32%","'-","","","Two-Way",""
"Incomplete Roster Charge"," "," "," ","                                   $8,607,780"," "," "," "," "," "," "

