" ","Player (15)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap","Apron Salary","Luxury Tax","Cash                         Total","Cash                         Guaranteed","Free Agent                         Year"
"1","Aldridge                     LaMarcus Aldridge","PF","31","$20,575,005","21.86%","$20,575,005","$20,575,005","$20,575,005","$20,575,005",""
"2","Leonard                     Kawhi Leonard","SF","25","$17,638,063","18.74%","$17,638,063","$17,638,063","$17,638,063","$17,638,063","2027"
"3","Gasol                     Pau Gasol","C","36","$15,500,000","16.46%","$15,500,000","$15,500,000","$15,500,000","'-","2018"
"4","Parker                     Tony Parker","PG","34","$14,445,313","15.34%","$14,445,313","$14,445,313","$14,445,313","$14,445,313","2018"
"5","Ginobili                     Manu Ginobili","SG","39","$14,000,000","14.87%","$14,000,000","$14,000,000","$14,000,000","'-","2017"
"6","Green                     Danny Green","SG","29","$10,000,000","10.62%","$10,000,000","$10,000,000","$10,000,000","$10,000,000","2019"
"7","Mills                     Patty Mills","PG","28","$3,578,948","3.80%","$3,578,948","$3,578,948","$3,578,948","$3,578,948","2017"
"8","Dedmon                     Dewayne Dedmon","C","27","$2,898,000","3.08%","$2,898,000","$2,898,000","$2,898,000","'-","2018"
"9","Lee                     David Lee","PF","33","$1,551,659","1.65%","$1,551,659","$1,551,659","$1,551,659","'-","2018"
"10","Anderson                     Kyle Anderson","SF","23","$1,192,080","1.27%","$1,192,080","$1,192,080","$1,192,080","$1,192,080","2027"
"11","Murray                     Dejounte Murray","PG","20","$1,180,080","1.25%","$1,180,080","$1,180,080","$1,180,080","$1,180,080","2028"
"12","Simmons                     Jonathon Simmons","SF","27","$874,636","0.93%","$874,636","$874,636","$874,636","'-","2017"
"13","Forbes                     Bryn Forbes","SG","23","$543,471","0.58%","$543,471","$980,431","$543,471","$543,471","2018"
"14","Bertans                     Davis Bertans","PF","24","$543,471","0.58%","$543,471","$543,471","$543,471","$543,471","2018"
"15","Anthony                     Joel Anthony","C","34","$346,034","0.37%","$346,034","$346,034","$497,858","$497,858","2017"

