" ","Player (12)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap","Apron Salary","Luxury Tax","Cash                         Total","Cash                         Guaranteed"
"1","Gallinari                     Danilo Gallinari","PF","34","$13,000,000","10.51%","$13,000,000","$13,000,000","$13,000,000","'-"
"2","Dedmon                     Dewayne Dedmon","C","33","$4,700,000","3.80%","$4,700,000","$4,700,000","$1,647,701","'-"
"3","Primo                     Joshua Primo","SG","20","$4,144,320","3.35%","$4,144,320","$4,144,320","$4,144,320","'-"
"4","Wieskamp                     Joe Wieskamp","SF","","$2,175,000","1.76%","$2,175,000","$2,175,000","$2,175,000","'-"
"5","Roby                     Isaiah Roby","PF","24","$1,930,681","1.56%","$1,930,681","$1,930,681","$1,930,681","'-"
"6","Dieng                     Gorgui Dieng","C","33","$1,836,090","1.48%","$1,836,090","$1,836,090","$2,641,682","'-"
"7","Johnson                     Stanley Johnson","SF","26","$1,245,164","1.01%","$1,245,164","$1,245,164","$1,670,643","'-"
"8","Vonleh                     Noah Vonleh","PF","27","$1,160,955","0.94%","$1,160,955","$1,160,955","$28,316","'-"
"9","Johnson                     Alize Johnson","PF","26","$192,293","0.16%","$192,293","$192,293","$192,293","'-"
"10","Hall                     Jordan Hall","F","21","$175,479","0.14%","$175,479","$175,479","$175,479","'-"
"11","Dieng                     Gorgui Dieng","C","33","$105,522","0.09%","$105,522","$105,522","$151,821","$151,821"
"12","Dieng                     Gorgui Dieng","C","33","$105,522","0.09%","$105,522","$105,522","$151,821","$151,821"

