"Player (9 of 15 + 0 of 3 TW)","Pos","Age","Type","Cap Hit","Cap Hit Pct                 League Cap","Base Salary","Incentives                 Likely","Incentives                 Unlikely","Trade Bonus                 Proration","Guaranteed"
"Fox                   De'Aaron Fox","PG","29","VET-EXT","$49,800,000","30.00%","$49,800,000","'-","'-","'-","$49,800,000"
"Vassell                   Devin Vassell","SG","26","RK-EXT","$27,000,000","16.27%","$27,000,000","'-","$2,200,000","'-","$27,000,000"
"Johnson                   Keldon Johnson","SF","27","RK-EXT","$17,500,000","10.54%","$17,500,000","'-","$1,500,000","'-","$17,500,000"
"Wembanyama                   Victor Wembanyama","C","23","RK-1ST","$16,868,246","10.16%","$16,868,246","'-","'-","'-","$16,868,246"
"Harper                   Dylan Harper","PG","20","RK-1ST","$12,989,040","7.82%","$12,989,040","'-","'-","'-","$12,989,040"
"Kornet                   Luke Kornet","C","31","FA","$10,450,000","6.30%","$10,450,000","'-","'-","'-","$10,450,000"
"Castle                   Stephon Castle","PG","22","RK-1ST","$10,015,920","6.03%","$10,015,920","'-","'-","'-","$10,015,920"
"Bryant                   Carter Bryant","PF","21","RK-1ST","$5,145,360","3.10%","$5,145,360","'-","'-","'-","$5,145,360"
"Champagnie                   Julian Champagnie","SF","25","FA","$3,000,000","1.81%","$3,000,000","'-","'-","'-","'-"

