"Player (8)","Pos","Age","Type","Cap Hit","Cap Hit Pct                 League Cap","Qualifying Offer"," "," "," "," "
"Barnes                   Harrison Barnes","PF","34","VET-EXT","$28,500,000","17.17%","'-","","","Bird",""
"Olynyk                   Kelly Olynyk","PF","35","VET-EXT","$25,545,732","15.39%","'-","","","Bird",""
"Waters III                   Lindy Waters III","SF","29","FA","$2,464,849","1.48%","'-","","","Non-Bird",""
"McLaughlin                   Jordan McLaughlin","PG","30","FA","$2,464,849","1.48%","'-","","","Early Bird",""
"Biyombo                   Bismack Biyombo","C","34","FA","$2,464,849","1.48%","'-","","","Early Bird",""
"Umude                   Stanley Umude","G","27","2W","$2,198,879","1.32%","$2,198,879","","","Two-Way",""
"Jones-Garcia                   David Jones-Garcia","SF","25","2W","$2,198,879","1.32%","$2,198,879","","","Two-Way",""
"Ingram                   Harrison Ingram","SF","24","2W","$2,198,879","1.32%","$2,198,879","","","Two-Way",""
"Incomplete Roster Charge"," "," "," ","                                   $4,098,942"," "," "," "," "," "," "

