" ","Player (13)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap","Apron Salary","Luxury Tax","Cash                         Total","Cash                         Guaranteed"
"1","Eubanks                     Drew Eubanks","C","24","$1,762,796","1.57%","$1,762,796","$1,762,796","$597,730","'-"
"2","Dekker                     Sam Dekker","SF","27","$350,000","0.31%","$350,000","$350,000","$350,000","'-"
"3","Wainright                     Ishmail Wainright","SF","27","$250,000","0.22%","$250,000","$250,000","$250,000","'-"
"4","Wilson                     DJ Wilson","PF","25","$95,930","0.09%","$95,930","$95,930","$102,831","$102,831"
"5","Morgan                     Juwan Morgan","SF","24","$95,930","0.09%","$95,930","$95,930","$95,930","$95,930"
"6","Brooks                     Armoni Brooks","SG","23","$85,578","0.08%","$85,578","$95,930","$85,578","$85,578"
"7","Brooks                     Armoni Brooks","SG","23","$85,578","0.08%","$85,578","$95,930","$85,578","$85,578"
"8","Gillespie                     Freddie Gillespie","PF","24","$50,000","0.04%","$50,000","$50,000","$50,000","'-"
"9","Wilson                     DJ Wilson","PF","25","'-","'-","'-","'-","$102,831","$102,831"
"10","Wilson                     DJ Wilson","PF","25","'-","'-","'-","'-","$102,831","$102,831"
"11","Waters                     Tremont Waters","PG","24","'-","'-","'-","'-","$95,930","$95,930"
"12","Morgan                     Juwan Morgan","SF","24","'-","'-","'-","'-","$95,930","$95,930"
"13","Oturu                     Daniel Oturu","C","22","'-","'-","'-","'-","$85,578","$85,578"

