"Player (13 of 15 + 0 of 3 TW)","Pos","Age","Type","Cap Hit","Cap Hit Pct                 League Cap","Base Salary","Incentives                 Likely","Incentives                 Unlikely","Trade Bonus                 Proration","Guaranteed"
"Barnes                   Scottie Barnes","PF","25","DRK-EXT","$41,754,690","25.15%","$41,754,690","'-","'-","'-","$41,754,690"
"Ingram                   Brandon Ingram","SF","29","VET-EXT","$40,000,000","24.10%","$40,000,000","'-","'-","'-","$40,000,000"
"Quickley                   Immanuel Quickley","PG","27","FA","$32,500,000","19.58%","$32,500,000","'-","$2,500,000","'-","$32,500,000"
"Barrett                   R.J. Barrett","SG","26","RK-EXT","$29,616,071","17.84%","$29,616,071","'-","$3,598,209","'-","$29,616,071"
"Poeltl                   Jakob Poeltl","C","31","FA","$19,500,000","11.75%","$19,500,000","'-","$500,000","'-","$19,500,000"
"Dick                   Gradey Dick","SG","23","RK-1ST","$7,131,511","4.30%","$7,131,511","'-","'-","'-","$7,131,511"
"Murray-Boyles                   Collin Murray-Boyles","PF","21","RK-1ST","$6,649,560","4.01%","$6,649,560","'-","'-","'-","$6,649,560"
"Walter                   Ja'Kobe Walter","SG","22","RK-1ST","$3,811,800","2.30%","$3,811,800","'-","'-","'-","$3,811,800"
"Mamukelashvili                   Sandro Mamukelashvili","C","27","FA","$2,801,346","1.69%","$2,801,346","'-","'-","'-","$2,801,346"
"Jackson-Davis                   Trayce Jackson-Davis","PF","26","RK-2ND","$2,406,205","1.45%","$2,406,205","'-","'-","'-","'-"
"Shead                   Jamal Shead","PG","24","RK-2ND","$2,296,271","1.38%","$2,296,271","'-","'-","'-","'-"
"Mogbo                   Jonathan Mogbo","C","25","RK-2ND","$2,296,271","1.38%","$2,296,271","'-","'-","'-","'-"
"Battle                   Jamison Battle","SF","25","ROS","$2,296,271","1.38%","$2,296,271","'-","'-","'-","'-"

