" ","Player (9)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap"," "," "," "," "," "
"1","Barrett                     R.J. Barrett","SG","27","$44,424,107","25.49%","","","","","Bird"
"2","Dick                     Gradey Dick","SG","24","$21,394,533","12.27%","","","","","Restricted Bird"
"3","Nwora                     Jordan Nwora","SF","29","$5,700,000","3.27%","","","","","Bird"
"4","Battle                     Jamison Battle","SF","26","$3,134,745","1.80%","","","","","Restricted Bird"
"5","Mogbo                     Jonathan Mogbo","C","26","$3,099,966","1.78%","","","","","Restricted Bird"
"6","Shead                     Jamal Shead","PG","25","$3,099,966","1.78%","","","","","Restricted Bird"
"7","Jackson-Davis                     Trayce Jackson-Davis","PF","27","$2,957,063","1.70%","","","","","Bird"
"8","Mamukelashvili                     Sandro Mamukelashvili","C","28","$2,702,707","1.55%","","","","","Early Bird"
"9","Barton                     Will Barton","SG","37","$2,588,091","1.48%","","","","","Non-Bird"
"Incomplete Roster Charge","","","","                                                   $8,607,780"," "," "," "," "," "," "

