" ","Player (15)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap","Apron Salary","Luxury Tax","Cash                         Total","Cash                         Guaranteed","Free Agent                         Year"
"1","Jefferson                     Al Jefferson","C","27","$14,000,000","24.12%","$14,000,000","$14,000,000","$11,268,293","$11,268,293","2013"
"2","Harris                     Devin Harris","PG","28","$9,319,000","16.06%","$9,319,000","$9,319,000","$7,500,659","$7,500,659","2013"
"3","Millsap                     Paul Millsap","PF","26","$8,103,435","13.96%","$8,103,435","$8,103,435","$6,795,448","'-","2013"
"4","Favors                     Derrick Favors","PF","20","$4,443,360","7.66%","$4,443,360","$4,443,360","$3,576,363","$3,576,363",""
"5","Freedom                     Enes Freedom","C","19","$4,133,280","7.12%","$4,133,280","$4,133,280","$3,576,363","$3,576,363","2015"
"6","Miles                     C.J. Miles","SF","24","$3,700,000","6.37%","$3,700,000","$3,700,000","$2,978,049","'-","2012"
"7","Bell                     Raja Bell","SG","35","$3,240,000","5.58%","$3,240,000","$3,240,000","$2,607,805","'-","2013"
"8","Hayward                     Gordon Hayward","SF","21","$2,532,960","4.36%","$2,532,960","$2,532,960","$2,038,724","'-","2014"
"9","Howard                     Josh Howard","SF","31","$2,150,000","3.70%","$2,150,000","$2,150,000","$2,038,724","'-","2012"
"10","Burks                     Alec Burks","SG","20","$2,020,200","3.48%","$2,020,200","$2,020,200","$1,626,015","$1,626,015",""
"11","Watson                     Earl Watson","PG","32","$2,000,000","3.45%","$2,000,000","$2,000,000","$1,609,756","'-","2013"
"12","Tinsley                     Jamaal Tinsley","PG","33","$1,229,255","2.12%","$1,229,255","$1,229,255","$989,400","'-","2013"
"13","Evans                     Jeremy Evans","SF","24","$762,195","1.31%","$762,195","$762,195","$613,474","'-","2012"
"14","Carroll                     DeMarre Carroll","SF","25","$432,572","0.75%","$432,572","$432,572","$432,572","$432,572","2013"
"15","Ahearn                     Blake Ahearn","SG","27","$48,232","0.08%","$48,232","$48,232","$48,232","'-","2012"

