" ","Player (10)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap","Apron Salary","Luxury Tax","Cash                         Total","Cash                         Guaranteed"
"1","Westbrook                     Russell Westbrook","PG","34","$46,295,265","37.44%","$46,295,265","$46,295,265","$15,958,306","'-"
"2","Johnson                     Stanley Johnson","SF","26","$2,351,521","1.90%","$2,351,521","$2,351,521","$2,351,521","'-"
"3","Lee                     Saben Lee","PG","23","$1,752,638","1.42%","$1,752,638","$1,752,638","$1,752,638","'-"
"4","Bolmaro                     Leandro Bolmaro","SG","22","$1,709,300","1.38%","$1,709,300","$1,709,300","$1,709,300","'-"
"5","Butler                     Jared Butler","PG","22","$1,563,518","1.26%","$1,563,518","$1,563,518","$1,563,518","'-"
"6","Dunn                     Kris Dunn","PG","28","$105,522","0.09%","$105,522","$105,522","$132,091","$132,091"
"7","Dunn                     Kris Dunn","PG","28","$105,522","0.09%","$105,522","$105,522","$132,091","$132,091"
"8","Jackson                     Frank Jackson","PG","24","$105,522","0.09%","$105,522","$105,522","$122,602","$122,602"
"9","Samanic                     Luka Samanic","PF","23","$105,522","0.09%","$105,522","$105,522","$105,522","$105,522"
"10","Brantley                     Jarrell Brantley","PF","","$105,522","0.09%","$105,522","$105,522","$105,522","$105,522"

