"Player (11 of 15 + 0 of 3 TW)","Pos","Age","Type","Cap Hit","Cap Hit Pct                 League Cap","Base Salary","Incentives                 Likely","Incentives                 Unlikely","Trade Bonus                 Proration","Guaranteed"
"Jackson Jr.                   Jaren Jackson Jr.","PF","27","VET-EXT","$49,000,000","29.52%","$49,000,000","'-","'-","'-","$49,000,000"
"Markkanen                   Lauri Markkanen","PF","29","VET-EXT","$46,113,154","27.78%","$46,113,154","'-","'-","'-","$46,113,154"
"Bailey                   Ace Bailey","SF","20","RK-1ST","$9,523,080","5.74%","$9,523,080","'-","'-","'-","$9,523,080"
"George                   Keyonte George","SG","23","RK-1ST","$6,563,925","3.95%","$6,563,925","'-","'-","'-","$6,563,925"
"Konchar                   John Konchar","SG","30","VET-EXT","$6,165,000","3.71%","$6,165,000","'-","'-","'-","$6,165,000"
"Williams                   Cody Williams","SG","22","RK-1ST","$6,015,600","3.62%","$6,015,600","'-","'-","'-","$6,015,600"
"Sensabaugh                   Brice Sensabaugh","SF","23","RK-1ST","$4,862,237","2.93%","$4,862,237","'-","'-","'-","$4,862,237"
"Mykhailiuk                   Sviatoslav Mykhailiuk","SG","29","FA","$3,850,000","2.32%","$3,850,000","'-","'-","'-","'-"
"Filipowski                   Kyle Filipowski","PF","23","RK","$3,000,000","1.81%","$3,000,000","'-","'-","'-","'-"
"Collier                   Isaiah Collier","PG","22","RK-1ST","$2,763,960","1.67%","$2,763,960","'-","'-","'-","$2,763,960"
"Williams Jr.                   Vincent Williams Jr.","SF","26","ROS","$2,489,752","1.50%","$2,489,752","'-","'-","'-","'-"

