" ","Player (16)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap","Apron Salary","Luxury Tax","Cash                         Total","Cash                         Guaranteed","Free Agent                         Year"
"1","Porter Jr.                     Otto Porter Jr.","SF","24","$24,773,250","25.00%","$24,773,250","$24,773,250","$24,773,250","$24,773,250","2021"
"2","Beal                     Bradley Beal","SG","24","$23,775,506","23.99%","$23,775,506","$23,775,506","$23,775,506","$23,775,506","2027"
"3","Wall                     John Wall","PG","27","$18,063,850","18.23%","$18,063,850","$18,063,850","$18,063,850","$18,063,850",""
"4","Mahinmi                     Ian Mahinmi","C","31","$16,661,641","16.81%","$16,661,641","$16,661,641","$16,661,641","$16,661,641","2020"
"5","Gortat                     Marcin Gortat","C","33","$12,782,609","12.90%","$12,782,609","$12,782,609","$12,782,609","$12,782,609","2019"
"6","Morris                     Markieff Morris","PF","28","$8,000,000","8.07%","$8,000,000","$8,000,000","$8,000,000","$8,000,000","2019"
"7","Smith                     Jason Smith","PF","31","$5,225,000","5.27%","$5,225,000","$5,225,000","$5,225,000","$5,225,000","2019"
"8","Meeks                     Jodie Meeks","SG","30","$3,290,000","3.32%","$3,290,000","$3,290,000","$3,290,000","$3,290,000","2019"
"9","Satoransky                     Tomas Satoransky","SG","26","$3,000,000","3.03%","$3,000,000","$3,000,000","$3,000,000","$3,000,000","2019"
"10","Oubre Jr.                     Kelly Oubre Jr.","SF","22","$2,093,040","2.11%","$2,093,040","$2,093,040","$2,093,040","$2,093,040","2026"
"11","Frazier                     Tim Frazier","PG","27","$2,000,000","2.02%","$2,000,000","$2,000,000","$2,000,000","$2,000,000","2018"
"12","Scott                     Mike Scott","PF","29","$1,471,382","1.48%","$1,471,382","$1,471,382","$1,709,538","$1,709,538","2018"
"13","McCullough                     Chris McCullough","PF","22","$1,471,382","1.48%","$1,471,382","$1,471,382","$1,471,382","$1,471,382","2018"
"14","Sessions                     Ramon Sessions","PG","31","$224,448","0.23%","$224,448","$224,448","$355,218","$355,218","2018"
"15","Lawson                     Ty Lawson","PG","30","$8,313","0.01%","$8,313","$8,313","$11,901","$11,901","2018"
"16","Robinson                     Devin Robinson","SF","22","Two-Way","'-","'-","'-","$75,000","$50,000","2019"

