"Player (12 of 15 + 0 of 3 TW)","Pos","Age","Type","Cap Hit","Cap Hit Pct                 League Cap","Base Salary","Incentives                 Likely","Incentives                 Unlikely","Trade Bonus                 Proration","Guaranteed"
"Davis                   Anthony Davis","C","33","VET-EXT","$58,456,566","35.21%","$58,456,566","'-","'-","'-","$58,456,566"
"Young                   Trae Young","PG","28","DRK-EXT","$48,967,380","29.50%","$48,967,380","'-","'-","'-","$48,967,380"
"Sarr                   Alex Sarr","PF","21","RK-1ST","$12,370,680","7.45%","$12,370,680","'-","'-","'-","$12,370,680"
"Coulibaly                   Bilal Coulibaly","SF","22","RK-1ST","$9,240,012","5.57%","$9,240,012","'-","'-","'-","$9,240,012"
"Johnson                   Tre Johnson","SG","20","RK-1ST","$8,649,600","5.21%","$8,649,600","'-","'-","'-","$8,649,600"
"Hardy                   Jaden Hardy","SG","24","VET-EXT","$6,000,000","3.61%","$6,000,000","'-","'-","'-","$6,000,000"
"Russell                   D'Angelo Russell","PG","30","FA","$5,969,250","3.60%","$5,969,250","'-","'-","'-","$5,969,250"
"Whitmore                   Cam Whitmore","SF","22","RK-1ST","$5,458,310","3.29%","$5,458,310","'-","'-","'-","$5,458,310"
"Carrington                   Bub Carrington","PG","21","RK-1ST","$4,900,560","2.95%","$4,900,560","'-","'-","'-","$4,900,560"
"Riley                   Will Riley","SF","20","RK-1ST","$3,688,320","2.22%","$3,688,320","'-","'-","'-","$3,688,320"
"George                   Kyshawn George","SG","23","RK-1ST","$3,108,000","1.87%","$3,108,000","'-","'-","'-","$3,108,000"
"Champagnie                   Justin Champagnie","SF","25","ROS","$2,667,944","1.61%","$2,667,944","'-","'-","'-","'-"

