" ","Player (16)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap"," "," "," "," "," "
"1","Middleton                     Khris Middleton","SF","35","$51,018,518","30.73%","","","","","Bird"
"2","Mahinmi                     Ian Mahinmi","C","40","$23,175,077","13.96%","","","","","Bird"
"3","Branham                     Malaki Branham","SG","23","$14,886,099","8.97%","","","","","Restricted Bird"
"4","Nunn                     Kendrick Nunn","PG","31","$6,825,000","4.11%","","","","","Early Bird"
"5","Sessions                     Ramon Sessions","PG","40","$2,464,849","1.48%","","","","","Non-Bird"
"6","Lawson                     Ty Lawson","PG","39","$2,464,849","1.48%","","","","","Non-Bird"
"7","Satoransky                     Tomas Satoransky","SG","35","$2,464,849","1.48%","","","","","Non-Bird"
"8","Napier                     Shabazz Napier","PG","35","$2,464,849","1.48%","","","","","Early Bird"
"9","Bagley III                     Marvin Bagley III","PF","27","$2,464,849","1.48%","","","","","Non-Bird"
"10","Gill                     Anthony Gill","PF","34","$2,464,849","1.48%","","","","","Bird"
"11","Cooper                     Sharife Cooper","PG","25","$2,198,879","1.32%","","","","","Two-Way"
"12","Vukcevic                     Tristan Vukcevic","C","23","$2,198,879","1.32%","","","","","Two-Way"
"13","Watkins                     Jamir Watkins","G","25","$2,198,879","1.32%","","","","","Two-Way"
"14","Williams                     Johnathan Williams","PF","31","$2,198,879","1.32%","","","","","Two-Way"
"15","Winston                     Cassius Winston","PG","28","$2,198,879","1.32%","","","","","Two-Way"
"16","Thor                     JT Thor","PF","24","$2,198,879","1.32%","","","","","Two-Way"
"Incomplete Roster Charge","","","","                                                   $2,732,628"," "," "," "," "," "," "

