"Player (12)","Pos","Age","Type","Cap Hit","Cap Hit Pct                 League Cap","Qualifying Offer"," "," "," "," "
"Coulibaly                   Bilal Coulibaly","SF","23","RK-1ST","$27,720,036","15.90%","$13,314,858","","","",""
"Mahinmi                   Ian Mahinmi","C","41","","$23,175,077","13.30%","'-","","","Bird",""
"Whitmore                   Cam Whitmore","SF","23","RK-1ST","$16,374,930","9.39%","$8,367,590","","","Restricted Bird",""
"Russell                   D'Angelo Russell","PG","31","FA","$7,760,025","4.45%","'-","","","Early Bird",""
"Nunn                   Kendrick Nunn","PG","32","FA","$6,825,000","3.92%","'-","","","Early Bird",""
"Sessions                   Ramon Sessions","PG","41","","$2,588,091","1.48%","'-","","","Non-Bird",""
"Satoransky                   Tomas Satoransky","SG","36","ROS","$2,588,091","1.48%","'-","","","Non-Bird",""
"Napier                   Shabazz Napier","PG","36","","$2,588,091","1.48%","'-","","","Early Bird",""
"Lawson                   Ty Lawson","PG","40","","$2,588,091","1.48%","'-","","","Non-Bird",""
"Winston                   Cassius Winston","PG","29","2W","$2,308,823","1.32%","'-","","","Two-Way",""
"Williams                   Johnathan Williams","PF","32","2W","$2,308,823","1.32%","'-","","","Two-Way",""
"Thor                   JT Thor","PF","25","2W","$2,308,823","1.32%","'-","","","Two-Way",""
"Incomplete Roster Charge"," "," "," ","                                   $5,738,520"," "," "," "," "," "," "

