,Rank,Team,Record,Players  Active,Avg Age  Team,Total Cap  Allocations,Cap Space  All,Active,Active  Top 3,Dead  Cap
0,1.0,MIN  MIN,29-53,14.0,25.1,"$71,566,819","$22,576,181","$59,494,555","$27,225,579","$10,111,402"
1,2.0,UTA  UTA,40-42,15.0,26.2,"$80,498,192","$13,644,808","$80,223,192","$38,123,140","$275,000"
2,3.0,DEN  DEN,33-49,15.0,25.8,"$82,581,936","$11,561,064","$78,416,141","$38,361,798","$4,165,795"
3,4.0,BKN  BKN,21-61,15.0,25.5,"$83,730,005","$10,412,995","$65,405,906","$41,898,929","$18,324,099"
4,5.0,PHX  PHX,23-59,15.0,25.4,"$85,055,253","$9,087,747","$72,521,524","$39,021,250","$12,533,729"
5,6.0,PHI  PHI,10-72,16.0,24.4,"$89,003,631","$5,139,369","$61,656,754","$26,974,084","$24,160,495"
6,7.0,HOU  HOU,41-41,15.0,26.2,"$90,968,493","$3,174,507","$87,526,799","$57,660,827","$3,441,694"
7,8.0,OKC  OKC,55-27,15.0,25.8,"$92,320,380","$1,822,620","$86,981,364","$52,635,938","$4,358,585"
8,9.0,MIL  MIL,33-49,15.0,25.6,"$92,676,330","$1,466,670","$89,531,619","$44,613,444","$3,144,711"
9,10.0,BOS  BOS,48-34,15.0,25.3,"$93,035,161","$1,107,839","$91,484,921","$46,809,763","$1,550,240"
10,11.0,CHI  CHI,42-40,15.0,25.8,"$93,175,538","$967,462","$92,681,038","$55,356,361","$494,500"
11,12.0,IND  IND,45-37,15.0,26.7,"$94,002,004","$140,996","$85,614,337","$43,231,684","$8,387,667"
12,13.0,LAL  LAL,17-65,15.0,25.5,"$94,204,120","$-61,120","$85,639,596","$46,500,000","$8,564,524"
13,14.0,ATL  ATL,48-34,15.0,28.0,"$95,563,799","$-1,420,799","$92,928,845","$58,982,646","$2,634,954"
14,15.0,SAC  SAC,33-49,15.0,25.9,"$95,667,032","$-1,524,032","$87,859,206","$36,494,619","$7,807,826"
15,16.0,GSW  GSW,73-9,15.0,27.7,"$100,241,842","$-6,098,842","$97,520,106","$58,534,110","$2,721,736"
16,17.0,NOP  NOP,30-52,15.0,25.9,"$101,417,816","$-7,274,816","$94,322,677","$50,361,168","$7,095,139"
17,18.0,MIA  MIA,48-34,15.0,27.1,"$101,820,405","$-7,677,405","$96,523,509","$61,749,535","$5,296,896"
18,19.0,CHA  CHA,48-34,15.0,25.9,"$102,036,240","$-7,893,240","$100,201,483","$46,369,565","$1,834,757"
19,20.0,WAS  WAS,41-41,15.0,25.5,"$102,337,716","$-8,194,716","$100,785,911","$55,018,804","$1,551,805"
20,21.0,NYK  NYK,32-50,14.0,26.3,"$102,613,433","$-8,470,433","$79,595,502","$57,124,632","$6,017,931"
21,22.0,DAL  DAL,42-40,15.0,26.9,"$104,083,711","$-9,940,711","$92,128,049","$64,262,588","$11,955,662"
22,23.0,ORL  ORL,35-47,15.0,25.2,"$104,294,550","$-10,151,550","$102,595,191","$49,000,000","$1,699,359"
23,24.0,DET  DET,44-38,15.0,25.5,"$107,901,937","$-13,758,937","$102,503,259","$54,273,272","$5,398,678"
24,25.0,SAS  SAS,67-15,15.0,28.9,"$108,372,141","$-14,229,141","$104,866,760","$53,713,068","$3,505,381"
25,26.0,MEM  MEM,42-40,15.0,27.4,"$110,869,863","$-16,726,863","$108,352,164","$69,822,525","$2,517,699"
26,27.0,TOR  TOR,56-26,16.0,25.5,"$111,777,477","$-17,634,477","$108,688,646","$55,122,122","$206,500"
27,28.0,POR  POR,44-38,15.0,24.4,"$112,845,578","$-18,702,578","$110,932,233","$59,221,868","$1,913,345"
28,29.0,LAC  LAC,53-29,15.0,29.5,"$118,011,825","$-23,868,825","$113,657,568","$64,505,841","$1,412,964"
29,30.0,CLE  CLE,57-25,15.0,29.6,"$127,570,594","$-33,427,594","$125,131,982","$69,767,188","$1,458,181"
30,,Totals,-,450.0,-,"$2,950,243,821","$-125,953,821","$2,755,770,837","$1,522,736,348","$164,541,254"
31,,Averages,-,15.0,26.3,"$98,341,461","$-4,198,461","$91,859,028","$50,757,878","$5,484,708"
