,Rank,Team,Players  Active,Avg Age  Team,Total Cap  Allocations,Cap Space  All,Cap Space  Projected Practical,Active,Active  Top 3,Dead  Cap
0,1.0,CHI  CHI,5.0,24.6,"$123,095,130","$51,204,870","$157,084,440","$64,557,043","$51,000,000",-
1,2.0,WAS  WAS,7.0,22.7,"$148,276,605","$26,023,395","$157,084,440","$49,729,579","$31,931,208",-
2,3.0,BKN  BKN,7.0,23.9,"$151,957,533","$22,342,467","$157,084,440","$58,678,544","$44,521,424",-
3,4.0,LAL  LAL,5.0,25.6,"$154,385,806","$19,914,194","$157,084,440","$78,535,470","$73,522,574",-
4,5.0,UTA  UTA,7.0,25.0,"$167,095,953","$7,204,047","$157,084,440","$83,875,399","$67,471,131",-
5,6.0,DET  DET,6.0,26.2,"$201,290,988","$-26,990,988","$157,084,440","$100,472,457","$83,968,378",-
6,7.0,ATL  ATL,9.0,25.3,"$201,400,506","$-27,100,506","$157,084,440","$126,593,303","$72,434,637",-
7,8.0,SAS  SAS,6.0,25.8,"$202,733,108","$-28,433,108","$154,534,440","$120,004,713","$92,043,934",-
8,9.0,PHI  PHI,8.0,26.9,"$205,197,672","$-30,897,672","$157,084,440","$189,550,708","$162,916,950",-
9,10.0,BOS  BOS,7.0,28.7,"$209,922,303","$-35,622,303","$157,084,440","$184,368,863","$156,397,874",-
10,11.0,CHA  CHA,7.0,24.1,"$210,921,772","$-36,621,772","$157,084,440","$81,137,595","$65,045,473",-
11,12.0,MIL  MIL,5.0,29.8,"$214,009,523","$-39,709,523","$157,084,440","$121,082,048","$106,233,833","$23,183,270"
12,13.0,PHX  PHX,8.0,27.0,"$226,843,580","$-52,543,580","$157,084,440","$144,670,801","$116,390,192","$22,490,153"
13,14.0,MEM  MEM,9.0,26.7,"$227,328,002","$-53,028,002","$157,084,440","$144,300,894","$112,393,973","$3,700,000"
14,15.0,POR  POR,8.0,28.8,"$232,350,829","$-58,050,829","$157,084,440","$155,231,223","$95,310,219","$268,031"
15,16.0,NYK  NYK,7.0,29.1,"$241,654,319","$-67,354,319","$157,084,440","$213,377,864","$146,981,267",-
16,17.0,IND  IND,10.0,28.3,"$242,743,753","$-68,443,753","$157,084,440","$187,256,773","$125,595,792",-
17,18.0,HOU  HOU,7.0,30.3,"$243,047,946","$-68,747,946","$157,084,440","$151,805,141","$105,188,951",-
18,19.0,MIA  MIA,5.0,25.6,"$246,654,553","$-72,354,553","$157,084,440","$82,783,174","$75,823,992",-
19,20.0,TOR  TOR,6.0,26.8,"$254,140,459","$-79,840,459","$157,084,440","$159,388,564","$119,252,392",-
20,21.0,SAC  SAC,7.0,27.9,"$257,442,132","$-83,142,132","$157,084,440","$125,089,414","$96,259,416",-
21,22.0,LAC  LAC,3.0,25.3,"$261,463,420","$-87,163,420","$157,084,440","$26,503,795","$26,503,795",-
22,23.0,ORL  ORL,9.0,26.1,"$263,715,764","$-89,415,764","$157,084,440","$207,430,667","$131,834,140",-
23,24.0,MIN  MIN,8.0,27.5,"$268,034,352","$-93,734,352","$157,084,440","$197,546,677","$126,101,204",-
24,25.0,NOP  NOP,8.0,25.9,"$281,604,690","$-107,304,690","$157,084,440","$147,564,262","$104,638,434",-
25,26.0,DAL  DAL,8.0,28.6,"$283,866,501","$-109,566,501","$157,084,440","$184,165,268","$126,601,331","$3,211,216"
26,27.0,DEN  DEN,6.0,28.7,"$287,918,624","$-113,618,624","$157,084,440","$187,484,806","$151,195,138",-
27,28.0,CLE  CLE,7.0,27.6,"$307,892,243","$-133,592,243","$157,084,440","$200,767,928","$152,521,242",-
28,29.0,GSW  GSW,3.0,28.3,"$315,890,608","$-141,590,608","$157,084,440","$26,049,386","$26,049,386",-
29,30.0,OKC  OKC,10.0,26.4,"$325,672,915","$-151,372,915","$157,084,440","$214,539,381","$150,645,000",-
30,,Totals,208.0,-,"$6,958,551,589","$-1,729,551,589",-,"$4,014,541,740","$2,996,773,280","$52,852,670"
31,,Averages,6.9,26.8,"$231,951,720","$-57,651,720",-,"$133,818,058","$99,892,443","$1,761,756"
